Code,SD,Mkt Cap,Supersector,Subsector,Subsector,Google Finance Url
AAPC,0.0012373186932237749,107.72,finance,business services,https://www.google.com/finance?q=NASDAQ:AAPC
AAXJ,0.006498302648168959,2.93,n/a,n/a,https://www.google.com/finance?q=NASDAQ:AAXJ
ABCB,0.007258385696201979,1.08,finance,major banks,https://www.google.com/finance?q=NASDAQ:ABCB
AAPL,0.008261609057641525,494.83,technology,computer manufacturing,https://www.google.com/finance?q=NASDAQ:AAPL
ABCD,0.008663385993125924,194.03,consumer services,publishing,https://www.google.com/finance?q=NASDAQ:ABCD
ABAX,0.011798347437150377,978.59,capital goods,industrial machinery/components,https://www.google.com/finance?q=NASDAQ:ABAX
AAON,0.01308405308510662,1.45,capital goods,industrial machinery/components,https://www.google.com/finance?q=NASDAQ:AAON
AAWW,0.013716063506932016,1.13,transportation,transportation services,https://www.google.com/finance?q=NASDAQ:AAWW
ABCO,0.014205153372300888,1.38,consumer services,other consumer services,https://www.google.com/finance?q=NASDAQ:ABCO
AAL,0.0202649680642713,18.11,transportation,air freight/delivery services,https://www.google.com/finance?q=NASDAQ:AAL
ABIO,0.020433837519002927,28.98,health care,biotechnology: in vitro & in vivo diagnostic substances,https://www.google.com/finance?q=NASDAQ:ABIO
ABDC,0.02570128810344498,155.73,n/a,n/a,https://www.google.com/finance?q=NASDAQ:ABDC
AAME,0.028539692956242986,80.65,finance,life insurance,https://www.google.com/finance?q=NASDAQ:AAME
ABEO,0.03206366569220659,74.33,health care,major pharmaceuticals,https://www.google.com/finance?q=NASDAQ:ABEO
ABAC,0.03911799936313232,20.9,consumer non-durables,farming/seeds/milling,https://www.google.com/finance?q=NASDAQ:ABAC
AAAP,0.06099156394489911,1.2,health care,major pharmaceuticals,https://www.google.com/finance?q=NASDAQ:AAAP
ABIL,0.07063609782485161,80.1,finance,business services,https://www.google.com/finance?q=NASDAQ:ABIL
AAOI,0.0792711832326666,150.97,technology,semiconductors,https://www.google.com/finance?q=NASDAQ:AAOI
