Date,Open,High,Low,Close,Volume
27-May-16,72.89,73.11,72.13,72.45,113180341
26-May-16,74.00,74.00,72.02,72.81,117434001
25-May-16,72.97,73.74,72.66,73.49,160124681
24-May-16,69.98,72.42,69.73,72.42,162704445
23-May-16,70.49,71.15,69.89,70.22,96937547
20-May-16,69.90,70.35,69.15,70.34,115667566
19-May-16,69.86,70.96,69.02,69.08,162823323
18-May-16,67.37,69.75,67.00,68.59,150104862
17-May-16,67.14,67.67,66.90,67.35,109802162
16-May-16,65.82,66.85,65.58,66.67,58370905
13-May-16,64.72,66.42,64.53,66.40,98231897
12-May-16,65.27,65.90,64.31,64.91,85721365
11-May-16,65.11,65.71,64.51,65.69,78151960
10-May-16,64.51,65.68,64.42,65.42,79140336
9-May-16,65.56,66.00,64.31,64.37,72064267
6-May-16,63.80,65.21,63.65,65.01,77566603
5-May-16,65.01,65.28,63.90,64.08,78476310
4-May-16,65.48,65.90,64.77,64.79,81915638
3-May-16,67.50,67.97,65.56,65.59,129681085
29-Apr-16,67.92,68.32,66.69,67.07,125250303
28-Apr-16,66.42,68.58,66.09,68.11,164637084
27-Apr-16,69.87,69.98,68.55,69.25,95285813
26-Apr-16,68.00,70.78,67.74,70.00,116994588
25-Apr-16,68.23,68.64,67.11,67.59,91685774
22-Apr-16,68.67,69.18,67.74,68.00,91742674
21-Apr-16,67.82,68.82,67.71,68.70,102596171
20-Apr-16,67.43,68.05,66.79,67.76,100140278
19-Apr-16,68.44,68.85,67.85,67.85,99060133
18-Apr-16,67.46,68.63,67.20,68.45,61684934
15-Apr-16,68.95,69.10,67.89,68.20,91589117
14-Apr-16,69.25,69.64,68.54,68.80,100146567
13-Apr-16,67.55,70.68,67.49,69.00,118089961
12-Apr-16,66.29,67.00,65.59,66.64,97150522
11-Apr-16,65.90,66.52,65.43,65.52,53173881
8-Apr-16,65.00,67.30,64.90,65.90,58369223
7-Apr-16,66.71,68.07,64.58,64.82,94537393
6-Apr-16,67.16,68.33,66.88,68.08,91323759
5-Apr-16,67.87,68.11,66.65,66.94,113739187
4-Apr-16,67.75,68.69,67.67,68.32,71448580
