Symbol	Description
DCFI	DOW Comp Stocks Above 50-Day Average
DCOF	DOW Comp Stocks Above 150-Day Average
DCOH	DOW Comp Stocks Above 100-Day Average
DCSE	Djw US Semiconductor
DCTH	DOW Comp Stocks Above 200-Day Average
DCTW	DOW Comp Stocks Above 20-Day Average
DDA	DJIA VOLATILITY INDEX - OFFER S
DDB	DJIA VOLATILITY INDEX - BID SID
DDO	AMEX Disk Drive Index Final Set
DDX	AMEX Disk Drive Index
DECA	AMEX Declining Stocks
DECD	OTC Declining Stocks
DECE	ETFS  Declining Stocks
DECN	NYSE Declining Stocks
DECQ	NASD Declining Stocks
DECS	TSX Declining Stocks
DECT	Total Declining Stocks
DECV	Tsxv Declining Stocks
DECX	CAD Total Declining Stocks
DEXR	S&P C.S. Mi-Detroit Home Price Index
DFI	AMEX Defense Index
DGE	AMEX Equal Weighted Pharma Index
DHC	DYNAMIC HLTHCARE INTELL
DHD	DYNAMIC BANKING INTELL
DIFI	DOW Indu Stocks Above 50-Day Average
DIOF	DOW Indu Stocks Above 150-Day Average
DIOH	DOW Indu Stocks Above 100-Day Average
DITH	DOW Indu Stocks Above 200-Day Average
DITW	DOW Indu Stocks Above 20-Day Average
DIVD	S&P 500 ANNUAL DIVIDEND - 10X
DIVQ	NASDAQ Dividend Achievers Index
DJC	Dow Jones Composite Average
DJEC	DJ INTERNET COMMERCE IND
DJI	DJ Industrial Average
DJT	DJ Transport Average
DJU	DJ Utility Average
DJWO	DJ WORLD STOCK INDEX
DLTC	U.S. Large-Cap Technology Index
DMT	Dly Mirrow Idx
DNXR	S&P C.S. Co-Denver Home Price Index
DOI	AMEX Defense Index Final Settle
DOWE	INDUSTRIALS EU$
DOWV	TREASURIES IDX
DRCI	DJ COMPREIT
DREI	DJ EQUITYREIT
DRG	AMEX Pharmaceutical Index
DRO	AMEX Pharmaceutical Index Final
DSAE	DJ US AERODEF
DSAF	DJ US DELIVRYSRV
DSAG	DJ US ASSETMNG
DSAI	DJ US ELECEQUIP
DSAL	DJ US ALUMINUM
DSAM	DJ US MEDEQUIP
DSAP	DJ US AUTOPARTS
DSAR	DJ US AIRLINES
DSAS	DJ US AEROSPACE
DSAT	DJ US AUTOPARTS
DSAU	DJ US AUTOMOBILE
DSAV	DJ US MEDIAAGN
DSBC	DJ US BRDCASTENT
DSBD	DJ US BLDGMATFIX
DSBE	DJ US BSTRNGEMP
DSBK	DJ US BANKS
DSBM	DJ US BASICMAT
DSBS	DJ US BSCRSRCES
DSBT	DJ US BIOTECHNO
DSBV	DJ US BEVERAGES
DSCA	DJ US GAMBLING
DSCC	DJ US COMMCHEM
DSCE	DJ US CONSELECT
DSCF	DJ US CLOTHACCSS
DSCG	DJ US TRAVLEIS
DSCH	DJ US CHEMICALS
DSCL	DJ US COAL
DSCM	DJ US PERSPROD
DSCN	DJ US CONSMATRLS
DSCP	DJ US CTNRS&PKNG
DSCR	DJ US CMPTRHRDWR
DSCS	DJ US SPLTYCNSRV
DSCT	DJ US SEMICONDTR
DSCX	DJ US SPCLTYCHEM
DSCY	DJ US CONSUMSRV
DSDB	DJ US BREWERS
DSDN	DJ US DEFENSE
DSDR	DJ US FDDRGRET
DSDS	DJ US INSUPPLIER
DSDT	U.S. Diversified REITs Index
DSDV	DJ US CMPTRSRV
DSEC	DJ US ELCCOMPEQP
DSEE	DJ US ELECEQUP
DSEH	U.S. Real Estate Holding & Development Index
DSEN	DJ US OIL&GAS
DSES	U.S. Real Estate Services Index
DSEU	DJ US ELECTRCTY
DSFA	DJ US FINADMIN
DSFB	DJ US FOOD&BEV
DSFC	DJ US FXLNTELCM
DSFD	DJ US FOODRTWHSL
DSFE	DJ US INDUSTMACH
DSFH	DJ US FURNISHNG
DSFI	DJ US FINCLSRV
DSFN	DJ US FINANCIALS
DSFO	DJ US FOODPRODRS
DSFP	DJ US FOODPRDCTS
DSFR	DJ US FORESTPAPR
DSFT	DJ US FOOTWEAR
DSFV	U.S. Financial Services Index
DSGF	DJ US GENFINAN
DSGI	DJ US GENINDUST
DSGT	DJ US GENRETAIL
DSGU	DJ US GASDISTRIB
DSHB	DJ US HOMECONS
DSHC	DJ US HLTHCARE
DSHD	DJ US DURHLDPROD
DSHG	DJ US HLDGOODS
DSHI	DJ US HMIMPRETL
DSHL	U.S. Hotel & Lodging REITs Index
DSHN	DJ US NDURHLDPRD
DSHP	DJ US HLTHCRPVDR
DSHR	DJ US COMRVEHTRK
DSHV	DJ US HVYCONS
DSIB	DJ US INSBROKERS
DSID	DJ US DVSFINDUS
DSIF	DJ US FLLINEINS
DSIG	DJ US INDGDS&SRV
DSIL	DJ US LIFEINSUR
DSIM	DJ US INDMETALS
DSIN	DJ US INDSTRIALS
DSIO	U.S. Industrial & Office REITs Index
DSIP	DJ US PROPCASINS
DSIQ	DJ US INDSTENGNG
DSIR	DJ US INSURANCE
DSIS	DJ US SUPPORTSRV
DSIT	DJ US INDSTTRANS
DSIU	DJ US REINSURAN
DSIV	DJ US BUSSUPSRV
DSIX	DJ US NLIFEINSUR
DSLE	DJ US LEISGOODS
DSLG	DJ US HOTELS
DSLW	DJ US LOWCAP
DSMC	DJ US HCREQPSRV
DSME	DJ US MEDIA
DSMF	DJ US MORTGFIN
DSMG	DJ US MINING
DSMR	U.S. Mortgage REITs Index
DSMS	DJ US MDSUPPLIES
DSMT	DJ US MARTRANSPT
DSMU	DJ US MULUTILTES
DSNC	DJ US CONSUMGDS
DSNF	DJ US NONFERMET
DSNG	DJ US PERHLDGDS
DSNS	DJ US INTERNET
DSOE	DJ US ELECOFFEQP
DSOG	DJ US OILGAS
DSOI	DJ US OILEQPSRV
DSOL	DJ US INTGOILGAS
DSOQ	DJ US OILEQPSRV
DSOS	DJ US EXPLPROD
DSPB	DJ US PUBLISHING
DSPC	DJ US WSTDSPSRV
DSPG	DJ US PERSGOODS
DSPL	DJ US PIPELINES
DSPM	DJ US GOLDMNG
DSPN	DJ US PHARMBIO
DSPP	DJ US PAPER
DSPR	DJ US PHARMCTCLS
DSPT	DJ US PLTPRECMET
DSRA	DJ US APPRLRET
DSRB	DJ US BRDLNRET
DSRD	DJ US DRUGRET
DSRE	U.S. Real Estate Index
DSRH	DJ US RESTHLDG
DSRI	DJ US RESTINVTR
DSRL	U.S. Retail REITs Index
DSRN	U.S. Residential REITs Index
DSRP	DJ US RECPRODUCT
DSRQ	DJ US RECSERVICE
DSRR	DJ US RAILROADS
DSRS	DJ US SPLTYRET
DSRT	DJ US RETAIL
DSRU	DJ US RESTRBARS
DSSB	DJ US INVSRV
DSSC	DJ US SEMCNDCTRS
DSSD	DJ US SOFTDRINKS
DSSF	DJ US CONSUMFIN
DSSP	DJ US SPECIALFIN
DSSR	U.S. Specialty REITs Index
DSST	DJ US STEEL
DSSV	DJ US SFTCPTRSRV
DSSW	DJ US SOFTWARE
DSTB	DJ US TOBACCO
DSTC	DJ US TECHNOLOGY
DSTK	DJ US TRUCKING
DSTL	DJ US TELECOM
DSTP	DJ US TOPCAP
DSTQ	DJ US TECHHRDEQ
DSTR	DJ US TIRES
DSTS	DJ US TRANSSRV
DSTT	DJ US TRVLTOUR
DSTY	DJ US TOYS
DSUO	DJ US GASWTRMUT
DSUT	DJ US UTILITIES
DSVE	U.S. Conventional Electricity Index
DSVN	DJ US DISVINTNER
DSWC	DJ US MOBTELECOM
DSWU	DJ US WATER
DTCI	DJ COMPREIT TR
DTEI	DJ EQUITYREIT TR
DTFI	DOW Tran Stocks Above 50-Day Average
DTFX	CME FX Index
DTOF	DOW Tran Stocks Above 150-Day Average
DTOH	DOW Tran Stocks Above 100-Day Average
DTTH	DOW Tran Stocks Above 200-Day Average
DTTW	DOW Tran Stocks Above 20-Day Average
DTWC	DJ COMPAVGTR
DTWI	DJ INDUS AVG TR
DTWT	DJ TRANSAVGTR
DTWU	DJ UTILITYAVGTR
DUBS	DJ UBS COMMODITY INDEX
DUFI	DOW Util Stocks Above 50-Day Average
DUOF	DOW Util Stocks Above 150-Day Average
DUOH	DOW Util Stocks Above 100-Day Average
DUSL	DJ US LRGCAP
DUSM	DJ US MIDCAP
DUSS	DJ US SMLCAP
DUTH	DOW Util Stocks Above 200-Day Average
DUTW	DOW Util Stocks Above 20-Day Average
DVAA	S&P 500 FORWARD DIVD - 2010
DVAB	S&P 500 FORWARD DIVD - 2011
DVCA	AMEX Declining Volume
DVCD	OTC Declining Volume
DVCE	ETFS  Declining Volume
DVCN	NYSE Declining Volume
DVCQ	NASD Declining Volume
DVCS	TSX Declining Volume
DVCT	Total Declining Volume
DVCV	Tsxv Declining Volume
DVCX	CAD Total Declining Volume
DVDE	IMPLIED FORWARD DVS DECEMBER
DVJN	IMPLIED FORWARD DVS JUNE
DVMR	IMPLIED FORWARD DVS MARCH
DVS	S&P 500 DIVIDEND INDEX - 10X
DVST	IMPLIED FORWARD DVS SEPTEMBER
DWC	DJ Wilshire 5000 Index (Full Cap)
DWCB	DJ US BANKS TOTAL INDEX
DWE	DYNAMIC ENERGY EXPLORATION & PR
DWJ	DYNAMIC IURANCE INTELLIDEX
DWO	DYNAMIC OIL SERVICES INTELLIDEX
DWR	DYNAMIC RETAIL INTELLIDEX
DWU	DYNAMIC UTILITIES INTELLIDEX
DWY	DYNAMIC TELECOMMUNICATION & WIR
DXG	AMEX Spade Defense Setl
DXS	SPADE DEFEE
DXY	U.S. Dollar Index
DYH	Dynamic Top 200 Intell
DYI	AMEX Dynamic Market Intellidex
DYO	AMEX Dynamic Otc Intellidex
DZC	DYNAMIC SOFTWARE INTELLIDEX
DZE	DYNAMIC SEMICONDUCTOR INTELLIDE
DZF	DYNAMIC FOOD & BEVERAGE INTELLI
DZH	DYNAMIC HARDWARE & CO ELEC IN
DZL	DYNAMIC LEISURE&ENTERTAINMENT I
DZM	DYNAMIC MEDIA INTELLIDEX
DZN	DYNAMIC NETWORKING INTELLIDEX
DZO	Dynamic Biotech & Genome Intell
DZR	DYNAMIC PHARMACEUTICAL INTELLID
ECO	Wh Clean Energy
EED	Claymore Bric ETF Iopv
EMX	AMEX Major 8 European Index
EPX	SIG OIL EXPLORATION & PRODUCERS
ESX	Sel Euro 50 Ndx
EUX	Majr 11 Intl Ndx
EVZ	CBOE EURO CURR VOL IND
EZB	DYNAMIC BS MT INTELLIDEX
EZF	DYNAMIC FINCL INTELLIDEX
EZK	DYNAMIC ENRGY INTELLIDEX
EZL	DYNAMIC INDUS INTELLIDEX
EZS	DYNAMIC CN ST INTELLIDEX
EZV	DYNAMIC TECHN INTELLIDEX
EZX	DYNAMIC HLTHC INTELLIDEX
EZZ	DYNAMIC CN DS INTELLIDEX
FBV	Powershrs Db G10 Fd Iopv
FTSA	FTSE 350
FTSE	FTSE 100 Index
FTSM	FTSE Mid 250 Index
FVX	5-YEAR TREASURY NOTE
GDM	AMEX GOLD MINERS
GLD	Gold Index
GLI	Mer Lyn Gbl Mkt
GMI	Mkt Vector Gold Min Iopv
GNX	GSCI Spot Return
GVX	Goldman Sachs Livestock Sub Index
GVZ	GSTI SERVICES INDEX SETTLEMENT
GWI	Merrill Lynch Sel Sector Spdr
HGX	Phlx Hsg Sector Index
HIGA	AMEX New Highs
HIGD	OTC New Highs
HIGN	NYSE New Highs
HIGQ	NASD New Highs
HIGS	TSX New Highs
HIGV	Tsxv New Highs
HKO	AMEX Hong Kong Opt Flt Rt Index
HKX	AMEX Hong Kong 30 Index
HSI	Hang Seng Index
HUI	AMEX Gold Bugs Index
HUV	AMEX Gold Bugs Index Final Sett
HVX	Mkt Vector Env Serv Iopv
HWI	AMEX Computer Hardware Index
HWO	Computer Hardware Index Fnl Set
ICK	ISE Chindia Index
IDX	S&P 400 Midcap Index
IEB	DYNAMIC LARGE CAP INTELL
IEK	DYNAMIC MID CAP INTELL
IEY	DYNAMIC SMALL CAP INTELL
IIB	SEMI INDS PLUS
ILH	Dynamic Lg Cap Gr Intellidex
ILJ	Dynamic Mid Cp Gr Intellidex
ILK	Dynamic Sml Cp Gr Intellidex
ILP	Dynamic Mid Cp Valu Intellidex
ILR	DYNAMIC AGR GRWTH INTLDX
ILU	DYNAMIC DEEP VAL INTELDX
ILW	Dynamic Lg Cp Valu Intellidex
ILZ	Dynamic Sml Cp Valu Intellidex
INDS	Nasdaq Industrial
INSR	Nasdaq Inurance
IPSA	IPSA - Chile
IQX	S&P 500 EQUAL WEIGHT
IQZ	S&P 1000
IRX	13-WEEK TREASURY BILL
