Symbol	Description
OIV	CBOE/NYMEX WTI Volatility Index
OMX	OMX Stockholm 30 Index
ONE	S&P 100 Index
OOI	S&P Gl 100 Id
OSX	Phlx Euro Style Oil Svc Index
OVX	CBOE CRUDE OIL VOLATILITY INDEX
PHN	AMEX Telecom Index
PHXR	S&P C.S. Az-Phoenix Home Price Index
PLD	Palladium Index
PLT	Platinum Index
POQ	CBOE POWERPACKS TELCOM INDEX
POXR	S&P C.S. Or-Portland Home Price Index
PSEI	Philippines Stock Exchange PSEi Index
QSHD	NASD Declining Stocks
QSHF	NASD Advances - Declines
QSHR	NASD Advance Decline Ratio
QSHU	NASD Advancing Stocks
QVLD	NASD Declining Volume
QVLF	NASD Advance Decline Volume Difference
QVLR	NASD Advance Decline Vol Ratio
QVLU	NASD Advancing Volume
R1FI	Russell 1000 Stocks Above 50-Day Average
R1OF	Russell 1000 Stocks Above 150-Day Average
R1OH	Russell 1000 Stocks Above 100-Day Average
R1TH	Russell 1000 Stocks Above 200-Day Average
R1TW	Russell 1000 Stocks Above 20-Day Average
R2FI	Russell 2000 Stocks Above 50-Day Average
R2OF	Russell 2000 Stocks Above 150-Day Average
R2OH	Russell 2000 Stocks Above 100-Day Average
R2TH	Russell 2000 Stocks Above 200-Day Average
R2TW	Russell 2000 Stocks Above 20-Day Average
R3FI	Russell 3000 Stocks Above 50-Day Average
R3OF	Russell 3000 Stocks Above 150-Day Average
R3OH	Russell 3000 Stocks Above 100-Day Average
R3TH	Russell 3000 Stocks Above 200-Day Average
R3TW	Russell 3000 Stocks Above 20-Day Average
RAG	Cboe Russell 3000 Growth Index
RAV	Cboe Russell 3000 Value Index
RDG	Cboe Russell Midcap Growth Index
RJY	S.V. FOR AMEX MINI-NATURAL GAS
RLG	Cboe 1000 Growth Index
RLX	S& P Retail Index
RMC	Cboe Russell Midcap Index
RMV	Cboe Russell Midcap Value Index
RMZ	THE MSCI REIT INDEX
RPE	AMEX Elec Pwr&Nat Gas Infrastr
RSC	Russell SmallCap Index
RSG	Russell SmallCap Growth
RSV	Russell SmallCap Value
RTCM	Tsx Income Trust Index
RTF	RUSSELL TOP 50 INDEX
RTG	Russell 2500 Growth
RTI	Russell 2500 Index
RTM	Russell Microcap Index
RTRE	Tsx Reit Capped Index
RTV	Russell 2500 Value
RUA	Russell 3000 Index
RUF	ISE Homebuilders Index
RUI	Russell 1000 Index
RUJ	Cboe Russell Value Index
RUO	Cboe Russell 2000 Growth Index
RUT	Russell 2000 Index
RVX	CBOE RUSSELL 2000 VOLATILITY IN
RWG	Russell Top 200 Growth
RWI	Russell Top 200 Index
RWV	Russell Top 200 Value
S1FI	S&P 100 Stocks Above 50-Day Average
S1OF	S&P 100 Stocks Above 150-Day Average
S1OH	S&P 100 Stocks Above 100-Day Average
S1TH	S&P 100 Stocks Above 200-Day Average
S1TR	S&P 500 Automobiles & Components [TR]
S1TW	S&P 100 Stocks Above 20-Day Average
S2TR	S&P 500 Banks [TR]
S3TR	S&P 500 Capital Goods [TR]
S4FI	S&P 400 Stocks Above 50-Day Average
S4OF	S&P 400 Stocks Above 150-Day Average
S4OH	S&P 400 Stocks Above 100-Day Average
S4TH	S&P 400 Stocks Above 200-Day Average
S4TR	S&P 500 -Commercial & Professional Services [TR]
S4TW	S&P 400 Stocks Above 20-Day Average
S5FI	S&P 500 Stocks Above 50-Day Average
S5OF	S&P 500 Stocks Above 150-Day Average
S5OH	S&P 500 Stocks Above 100-Day Average
S5TH	S&P 500 Stocks Above 200-Day Average
S5TR	S&P 500 Consumer Durables & Apparel [TR]
S5TW	S&P 500 Stocks Above 20-Day Average
S6CD	S&P SmallCap600 Capped Consumer Discretionary [s
S6CS	S&P SmallCap600 Capped Consumer Staples [sector]
S6EP	S&P SmallCap600 Capped Energy [sector]Index
S6FI	S&P 600 Stocks Above 50-Day Average
S6FP	S&P SmallCap600 Capped Financials [sector]Index
S6HC	S&P SmallCap600 Capped HealthCare [sector]Index
S6IP	S&P SmallCap600 Capped Industrials [sector]Index
S6MP	S&P SmallCap600 Capped Materials [sector]Index
S6OF	S&P 600 Stocks Above 150-Day Average
S6OH	S&P 600 Stocks Above 100-Day Average
S6TH	S&P 600 Stocks Above 200-Day Average
S6TP	S&P SmallCap600 Capped Information Technology [s
S6TR	S&P 500 Consumer Services [TR]
S6TW	S&P 600 Stocks Above 20-Day Average
S6UP	S&P SmallCap600 Capped Utilities & Telecom Servi
S7TR	S&P 500 Diversified Financials [TR]
S8TR	S&P 500 Energy [TR]
S9TR	S&P 500 Food & Staples Retailing [TR]
SAAA	S&P Asia Alternative Energy Index
SAAB	S&P Asia Infrastructure Index
SAAC	S&P Asia Water Index
SACC	Alpha Shares China Small Cap Index
SACN	Alpha Shares China Technology Index
SAEI	S&P Global Alternative Energy Index [EURO]
SAER	S&P GSCI Agriculture Capped Component 35/20 EUR
SAEU	S&P Global Alternative Energy Index
SAIE	S&P Africa 40 Index [EURO]
SAIU	S&P Africa 40 Index
SAJR	MSCI WISE ASIA Ex-Japan Top [Net TR]
SAJT	MSCI WISE ASIA Ex-Japan Top
SANA	S&P Agribusiness North America
SANC	S&P Agribusiness North America CAD
SAPE	S&P Asia Property 40 Index
SAPT	S&P GSCI All Metals Capped Commodity 35/20 EUR I
SAPU	S&P Asia Property 40 Index [EURO]
SAQA	S&P Global Water Index
SAQE	S&P Global Water Index [EURO]
SAUE	S&P GSCI Agriculture Capped Component 35/20 EUR
SBAI	S&P Brazil ADR Index
SBER	S&P GSCI Biofuel Index Excess Return
SBES	BLO M Emerging Shariah Index [NetTR]
SBIX	S&P 500 Banks non-TR
SBNP	S&P Custom/BNP Paribas SPECTRUMUS Sect or Moment
SBSE	S&P BRIC Shariah Index [EURO]
SBSU	S&P BRIC Shariah Index
SBTR	S&P GSCI Biofuel Index Total Return
SBUP	S&P Food & Beverage Select Industry Index
SCBR	S&P BMI Russia [Capped] [USDollar]
SCEI	CS/RT Emerging Infrastructure Index [NetTR]
SCGD	Credit Suisse Germany Index
SCGT	Beacon Global Timber Index
SCII	CAT China Infrastructure [TR]
SCIR	S&P GSCI North American Copper Index Excess Retu
SCIS	S&P GSCI North American Copper Index
SCIT	S&P GSCI North American Copper Index Total Retur
SCPC	S&P Custom/Polaris China Play Index [TWD]
SCPX	Credit Suisse Germany Price Return Index
SCRC	S&P /CITIC China 30 Index
SCRE	Alpha Shares China Real Estate Index
SCSC	S&P /CITIC 300 Index
SCSE	S&P /CITIC 50 Index
SCSR	CS/RT Emerging Infrastructure Price Return Index
SCUT	S&P/CITIC 300 -  Utilities [Sector]
SCWI	CAT China Water [TR]
SCWP	S&P Developed Ex-U.S.Property [USDollar]
SCYE	S&P Chinese Renminbi Price Return Index
SCYI	S&P Chinese Renminbi Total Return
SDCG	Defined MultiCap Growth Index
SDCV	Defined MultiCap Value Index
SDDE	Wisdom Tree Domestic Dividends Index ex Financia
SDDV	DWS Top Divide X Index [TR]
SDEW	S&P 400 Midcap Equal Weighted Index
SDGO	Defined Large Cap Growth Opportunities Index
SDIP	S&P DCFI Index Excess Return
SDIS	S&P DCFIIndex
SDIT	S&P DCFI Index Total Return
SDLC	Defined Large Cap Core Index
SDMC	Defined Mid Cap Core Index
SDPI	Goldman Sachs BRICs Nifty 50 Developed Markets I
SDSC	Defined Small Cap Core Index
SDTI	Goldman Sachs BRICs Nifty 50 Developed Markets I
SDTR	S&P 500 Food Beverage & Tobacco [TR]
SDTS	S&P Diversified Trends Indicator
SDTT	S&P Diversified Trends Total Return Indicator Le
SDVO	Defined Large Cap Value Opportunities Index
SDWI	DWS Infrastru X Index [TR]
SEAN	S&P Southeast Asia 40 Index [NetTR]
SEBI	S-Network Emerging Infrastructure Builders Index
SECA	S&P GSCI Enhanced Commodity Index
SECB	S&P GSCI Enhanced Commodity Index Excess Return
SECC	S&P GSCI Enhanced Commodity Index Total Return
SEIB	S-Network Emerging Infrastructure Builders Index
SEIE	S&P Global Eco Index [EURO]
SEII	CS/RT Emerging Infrastructure Index
SEIT	S&P Global REIT [AUD]
SEIU	S&P Global Eco Index
SEMT	Brics Nifty 50 Emerging Market Tradable Index Tr
SENSEX	BSE SENSEX
SEXR	S&P C.S. Wa-Seattle Home Price Index
SFTR	S&P 500 - Pharmaceuticals Biotechnology & Life
SFXR	S&P C.S. Ca-San Francisco Home Price Index
SG0A	S&P GSCI Agriculture & Live Stock Index
SG0B	S&P GSCI Agriculture & Live Stock Index Excess R
SG0C	S&P GSCI Agriculture & Live Stock Index Total Re
SG0D	S&P GSCI Agriculture Index Excess Return
SG0E	S&P GSCI Agriculture Index Total Return
SG0F	S&P GSCI All Cattle Index
SG0G	S&P GSCI All Cattle Index Excess Return
SG0H	S&P GSCI All Cattle Index Total Return
SG0I	S&P GSCI All Crude Index
SG1A	S&P GSCI All Crude Index Total Return
SG1B	S&P GSCI All Wheat Index
SG1C	S&P GSCI All Wheat Index Excess Return
SG1D	S&P GSCI All Wheat Index Total Return
SG1E	S&P GSCI Aluminum Index
SG1F	S&P GSCI Aluminum Index Excess Return
SG1G	S&P GSCI Aluminum Index Total Return
SG1H	S&P GSCI Soybean Oil Index
SG1I	S&P GSCI Soybean Oil Index Excess Return
SG1J	S&P GSCI All Crude Index Excess Return
SG2A	S&P GSCI Brent Crude Index
SG2B	S&P GSCI Brent Crude Index Excess Return
SG2C	S&P GSCI Brent Crude Index Total Return
SG2D	S&P GSCI Cocoa Index
SG2E	S&P GSCI Cocoa Index Excess Return
SG2F	S&P GSCI Cocoa Index Total Return
SG2G	S&P GSCI Coffee Index Co Index
SG2H	S&P GSCI Coffee Index Excess Return
SG2I	S&P GSCI Coffee Index Total Return
SG2J	S&P GSCI Soybean Oil Index Total Return
SG3A	S&P GSCI Copper Index Excess Return
SG3B	S&P GSCI Copper Index Total Return
SG3C	S&P GSCI Corn Index
SG3D	S&P GSCI Corn Index Excess Return
SG3E	S&P GSCI Corn Index Total Return
SG3F	S&P GSCI Cotton Index
SG3G	S&P GSCI Cotton Index Excess Return
SG3H	S&P GSCI Cotton Index Total Return
SG3I	S&P GSCI Crude Oil Index
SG3J	S&P GSCI Copper Index
SG4A	S&P GSCI Crude Oil Index Total Return
SG4B	S&P GSCI Energy and Metals Index
SG4C	S&P GSCI Energy and Metals Index Excess Return
SG4D	S&P GSCI Energy and Metals Index Total Return
SG4E	S&P GSCI Energy Index Excess Return
SG4F	S&P GSCI Energy Index Total Return
SG4G	S&P GSCI Feeder Cattle Index
SG4H	S&P GSCI Feeder Cattle Index Excess Return
SG4I	S&P GSCI Feeder Cattle Index Total Return
SG4J	S&P GSCI Crude Oil Index Excess Return
SG5A	S&P GSCI Gas Oil Index Excess Return
SG5B	S&P GSCI Gas Oil Index Total Return
SG5C	S&P GSCI Gold Index
SG5D	S&P GSCI Gold Index Excess Return
SG5E	S&P GSCI Gold Index Total Return
SG5F	S&P GSCI Grains Index
SG5G	S&P GSCI Grains Index Excess Return
SG5H	S&P GSCI Grains Index Total Return
SG5I	S&P GSCI Heating Oil Index
SG5J	S&P GSCI Gas Oil Index
SG6A	S&P GSCI Heating Oil Index Total Return
SG6B	S&P GSCI Industrial Metals Index Excess Return
SG6C	S&P GSCI Industrial Metals Index Total Return
SG6D	S&P GSCI Kansas Wheat Index
SG6E	S&P GSCI Kansas Wheat Index Excess Return
SG6F	S&P GSCI Kansas Wheat Index Total Return
SG6G	S&P GSCI Lead Index
SG6H	S&P GSCI Lead Index Excess Return
SG6I	S&P GSCI Lead Index Total Return
SG6J	S&P GSCI Heating Oil Index Excess Return
SG7A	S&P GSCI Lean Hogs Index Excess Return
SG7B	S&P GSCI Lean Hogs Index Total Return
SG7C	S&P GSCI Light Energy Index [CPW4]
SG7D	S&P GSCI Light Energy Index [CPW4] Excess Return
SG7E	S&P GSCI Light Energy Index [CPW4] Total Return
SG7F	S&P GSCI Live Cattle Index
SG7G	S&P GSCI Live Cattle Index Excess Return
SG7H	S&P GSCI Live Cattle Index Total Return
SG7I	S&P GSCI Livestock Index Excess Return
SG7J	S&P GSCI Lean Hogs Index
SG8A	S&P GSCI Natural Gas Index
SG8B	S&P GSCI Natural Gas Index Excess Return
SG8C	S&P GSCI Natural Gas Index Total Return
SG8D	S&P GSCI Nickel Index
SG8E	S&P GSCI Nickel Index Excess Return
SG8F	S&P GSCI Nickel Index Total Return
SG8G	S&P GSCI Non-Energy Index Excess Return
SG8H	S&P GSCI Non-Energy Index
SG8I	S&P GSCI Non-Energy Index Total Return
SG8J	S&P GSCI Livestock Index Total Return
SG9A	S&P GSCI Non-Livestock Index Excess Return
SG9B	S&P GSCI Non-Livestock Index Total Return
SG9C	S&P GSCI Non-Natural Gas Index
SG9D	S&P GSCI Non-Natural Gas Index Excess Return
SG9E	S&P GSCI Non-Natural Gas Index Total Return
SG9F	S&P GSCI Non-Precious Index
SG9G	S&P GSCI Non-Precious Index Excess Return
SG9H	S&P GSCI Non-Precious Index Total Return
SG9I	S&P GSCI Petroleumex-Gas Oil Index
SG9J	S&P GSCI Non-Livestock Index
SGAA	S&P Global Agribusiness Composite Index USD
SGAB	S&P Global Agribusiness Composite Index EUR
SGAC	S&P Global Agribusiness Equity Index
SGAD	S&P Global Agribusiness Equity Index [EURO]
SGCC	S&P GSCI Capped Commodity 35/20 Index
SGCR	S&P GSCI All Metals Capped Index Excess Return
SGDO	S&P Global Dividend Opportunities Index
SGET	Goldman Sachs Liquefied Natural Gas Index [EURO]
SGIA	S&P North American Natural Resources Sector Inde
SGIB	S&P North American Technology Sector Index
SGIC	S&P North American Technology Hardware Index
SGID	S&P North American Technology Software Index
SGIE	S&P North American Technology Services Index
SGIF	S&P North American Technology Multimedia Network
SGIG	S&P North American Technology Internet Index
SGIH	S&P North AmericanT echnology Semiconductors Ind
SGIR	S&P GSCI All Metals Index Excess Return
SGJ	S&P GSCI Energy
SGK	S&P GSCI Agriculture
SGLE	Goldman Sachs Liquefied Natural Gas Index [EURO]
SGLN	SGI Global Security Index [EURO] [TR]
SGLS	SGI Global Security Index [EURO]
SGMA	S&P GSCI All Metals Index
SGME	SGI Global Momentum [NetTR] [EURO] [NetTR] [NEWV
SGMU	SGI Global Momentum [NetTR] [NEWVA]
SGON	S&P Global Dividend Opportunities Index [NetTR]
SGP	S&P GSCI Precious Metals
SGPA	S&P GSCI All Metals Capped Index
SGPG	S&P GSCI Agriculture Capped Index
SGPP	S&P GSCI Capped Commodity 35/20 Index Excess Ret
SGPR	S&P GSCI Agriculture Capped Index Total Return
SGPT	S&P GSCI Capped Commodity 35/20 Index Total Retu
SGQA	S&P GSCI Petroleumex-Gas Oil Index Total Return
SGQB	S&P GSCI Petroleum Index
SGQC	S&P GSCI Petroleum Index Excess Return
SGQD	S&P GSCI Petroleum Index Total Return
SGQE	S&P GSCI Precious Metals Index Excess Return
SGQF	S&P GSCI Precious Metals Index Total Return
SGQG	S&P GSCI Reduced Energy Index [CPW2]
SGQH	S&P GSCI Reduced Energy Index [CPW2] Excess Retu
SGQI	S&P GSCI Reduced Energy Index [CPW2] Total Retur
SGQJ	S&P GSCI Petroleumex GasOil Index Excess Return
SGRC	S&P GSCI All Metals Capped Commodity 35/20 EUR I
SGRE	S&P GSCI All Metals Capped Commodity 35/20 EUR I
SGRG	S&P GSCI Agriculture Capped Index Excess Return
SGRM	Cohen & Steers Global Realty Majors Portfolio [T
SGRT	S&P GSCI Agriculture Capped Component 35/20 EUR
SGSA	S&P GSCI Silver Index
SGSB	S&P GSCI Silver Index Excess Return
SGSC	S&P GSCI Silver Index Total Return
SGSD	S&P GSCI Soybeans Index
SGSE	S&P GSCI Excess Return
SGSF	S&P GSCI Soybeans Index Excess Return
SGSG	S&P GSCI Soybeans Index Total Return
SGSH	S&P GSCI Sugar Index
SGSJ	S&P GSCI Sugar Index Excess Return
SGSK	S&P GSCI Sugar Index Total Return
SGSM	S&P GSCI Ultra-Light Energy Index [CPW8] Excess
SGSN	S&P GSCI Ultra-Light Energy Index [CPW8] Total R
SGSO	S&P GSCI Unleaded Gasoline Index
SGSP	S&P GSCI Unleaded Gasoline Index Excess Return
SGSQ	S&P GSCI Unleaded Gasoline Index Total Return
SGSR	S&P GSCI Wheat Index
SGSS	S&P GSCI Wheat Index Excess Return
SGST	S&P GSCI Wheat Index Total Return
SGSU	S&P GSCI Zinc Index
SGSV	S&P GSCI Zinc Index Excess Return
SGSW	S&P GSCI Zinc Index Total Return
SGSX	S&P GSCI Ultra-LightEnergyIndex [CPW8]
SGT	S&P GSCI Total Return
SGTR	S&P GSCI All Metals Capped Index Total Return
SGV	CASINO GAMING
SGWC	Credit Suisse Global Warming Price Index
SGWE	Credit Suisse Global Warming Index EUR
SGWM	Credit Suisse Global Warming Index
SGWN	SGI Global Wealth Effect [NetTR]
SGWP	SGI Global Wealth Effect
SGWT	S&P GSCI Select Equal Weight Index Tr
SGX	S&P GSCI FPI Index
SGY	S&P GSCI Industrial Metals
SHEP	Credit Suisse Hs60 Europe Index Powered By Holt
SHEU	HS60 Europe Index
SHSB	HS60 Index
SHSD	HS60-EURO Index
SHTR	S&P 500 HealthCare Equipment & Services [TR]
SHUS	HS60 US Index
SIDO	S&P International Dividend Opportunities Index
SIII	Indus India Index
SIIN	S&P India Select Index
SIIP	S&P DFFI Index Excess Return
SIIS	S&P DFFI Index
SIIT	S&P DFFI Index Total Return
SIN	ISE Sindex Index
SINE	S&P India 10 Index [EURO]
SINU	S&P India 10 Index
SIPR	Brics Nifty 50 Emerging Market Tradable Index Pr
SIRI	S&P Indian Rupee Total Return
SIRP	Cohen & Steers International Realty Majors Portf
SIS	AMEX Semiconductor Index
SITR	S&P 500 Insurance [TR]
SIUT	S&P 500 2x Inverse Daily Index
SIV	Cboe/Cbot Soybean Volatility Index
SJPA	S&P Japan 500
SJPB	S&P Japan Mid Cap 100
SJPC	S&P Japan Small Cap 250 Index
SJPD	S&P TOPIX YEN
SJPE	S&P JES100
SJRI	S&P Japan Regional Index-Tokai
SJTR	S&P 500 Semiconductors & Semiconductor Equipment
SKTR	S&P 500 Materials [TR]
SLAC	S&P LAC40 [US$] [EURO] [NetTR]
SLCN	S&P US Carbon Efficient Index U.S. Carbci Index
SLCT	S&P U.S. Carbon Efficient Index [TR]
SLCU	S&P U.S. Carbon Efficient Index [NetTR]
SLEE	S&P GSCI Light Energy EUR Index
SLER	S&P GSCI Light Energy EUR Index ER
SLEW	S&P 600 Smallcap Equal Weighted Index
SLPE	Global Listed Private Equity Index
SLPX	Cushing 30 MLP Index USD Price Return
SLQR	S&P  500 Low Quality Rankings
SLRT	S&P GSCI Light Energy EUR Index TR
SLUN	S&P 500 2x Leverage Daily Index
SLUT	S&P 500 Gold Hedged Index
SLV	Silver Index
SML	S&P Small Caps 600 Index
SMPR	Goldman Sachs BRICs Nifty 50 Emerging Markets In
SMRW	Revenue Shares MidCap Fund
SMSS	Morgan Stanley Smart Money Equity Index [TR]
SMTI	Goldman Sachs BRICs Nifty 50 Emerging Markets In
SMTR	S&P GSCI All Metals Index Total Return
SMXT	DWS Mega Trends Index [NetTRw/fees]
SNAC	Alpha Shares China All Cap Index
SNCH	Next 11 Core 8 Index
SNCT	Next 11 Core 8 Index [TR]
SNEI	S&P Global Nuclear Energy Index [EURO]
SNER	S&P GSCI Non-Energy EUR IndexER
SNEU	S&P Global Nuclear Energy Index
SNNE	S&P Global Infrastructure Index [EURO] [NetTR]
SNNT	S&P Global Infrastructure Index [NetTR]
SNRE	S&P Global Natural Resources Index [EURO]
SNRT	S&P GSCI Non-Energy EUR Index TR
SNRU	S&P Global Natural Resources Index
SNTE	Next 11 Core 5 Index [TR]
SNUI	S&P GSCI Non-Energy EUR Index
SNXR	S&P C.S. Ca-San Diego Home Price Index
SOBC	SGI-Orbeo Carbon Credit Index [EUR-TotalReturn]
SOCC	SGI-Orbeo Carbon Credit Index [USD-TotalReturn]
SOTR	S&P 500 Media [TR]
SOX	PHLX Semiconductor
SP500	S&P 500
SPAA	SGI Pan Africa Index [NetTR] Panri Indexet
SPAB	SGI Pan Africa Index [EURO] [NetTR]
SPAC	SGI Pan Africa Index
SPAD	S&P GSCI Palladium Index
SPEE	S&P Listed Private Equity Index [EURO]
SPER	S&P GSCI Palladium Index Excess Return
SPEY	S&P Listed Private Equity Index
SPIN	S&P GSCI Platinum Index
SPIR	S&P GSCI Platinum Index Excess Return
SPLR	S&P GSCI Platinum Index Total Return
SPPR	S&P International Preferred Stock Index
SPRL	SGI Premium List [NetTR]
SPRT	S&P GSCI Palladium Index Total Return
SPSU	S&P COMPOSITE 1500 INDEX
SPUS	S&P  Global Ex-U.S. Property [US Dollar]
SPX	S&P 500 INDEX
SPXT	S&P 500 [TR]
SQTR	S&P 500 Software & Services [TR]
SRER	S&P Indian Rupee Price Return Index
SRFF	SGI Fed Funds Index
SRIC	S&P BRIC 40 Index [NetTR]
SRIE	S&P BRIC 40 Index [EURO] [NetTR]
SRMP	Cohen & Steers US Realty Majors Portfolio [TR]
SRPR	S&P Global REIT [USD]
SRTR	S&P 500 Real Estate [TR]
SRUP	S&P 500 High Quality Rankings Index
SRVA	Rogers Energy Producers Index [EURO]
SRVB	Rogers Metals Producers Index [EURO]
SRVC	Rogers Agricultural Producers Index [EURO]
SRVD	Rogers Energy Producers Index
SRVE	Rogers Metals Producers Index
SRVF	Rogers Agricultural Producers Index
SRVG	Rogers Producers Index
SRVH	Rogers Producers US Extra Liquid Index
SRVI	Rogers Producers Index [EURO]
SRVJ	Rogers Producers US Extra Liquid Index [EURO]
SRWI	Revenue Shares Large Cap Fund
SS1E	S&P 500 EQUAL WEIGHTED Materials [Sector]
SS1J	S&P 500 EQUAL WEIGHTED Energy [Sector]
SS2E	S&P 500 EQUAL WEIGHTED Consumer Discretionary [S
SS2J	S&P 500 EQUAL WEIGHTED Industrials [Sector]
SS3E	S&P 500 EQUAL WEIGHTED HealthCare [Sector]
SS3J	S&P 500 EQUAL WEIGHTED Consumer Staples [Sector]
SS4E	S&P 500 EQUAL WEIGHTED Information Technology [S
SS4J	S&P 500 EQUAL WEIGHTED Financials [Sector]
SS5E	S&P 500 EQUAL WEIGHTED Utilities [Sector]
SS5J	S&P 500 EQUAL WEIGHTED Telecommunication Service
SSAE	S&P Southeast Asia 40 Index [EURO]
SSAI	S&P Southeast Asia 40 Index [EURO] [NetTR]
SSAU	S&P Southeast Asia 40 Index
SSAX	S&P Asia50
SSBE	S&P BRIC 40 Index [EURO]
SSBR	S&P BRIC 40 Index
SSCA	S&P Asia Pacific Emerging BMI [USDollar]
SSCB	S&P Mid-East and Africa BMI [USDollar]
SSCE	S&P /Citigroup BMI EPAC Index
SSCH	S&P China BMI [USDollar]
SSCK	S&P EM BMI [USDollar]
SSCL	S&P Latin America BMI [USDollar]
SSCM	Schwab 1000 Index
SSCP	S&P /Citigroup BMI Asia Pacific Index
SSCQ	S&P European Emerging BMI [CAPPED] [USDollar]
SSCS	S&P Developed Ex US Under USD 2 Billion [USDolla
SSCU	S&P /Citigroup BMI Europe Index
SSCW	S&P Developed Ex-U.S.BMI [USDollar]
SSDI	S&P 500 Dividend Index
SSEC	Shanghai Composite
SSEN	SGI Global Senior [NetTR]
SSER	SPECTRUM-Long/Short 8% Index ER [NEWVA]
SSEW	S&P GSCI Select Equal Weight Index Spot
SSFA	Credit Suisse Family Index
SSFB	SGI Double Short Bund Index
SSFE	Credit Suisse Family Index [EUR] [Price Return]
SSFP	Credit Suisse Family Index [USD] [Price Return]
SSFT	Credit Suisse Family Index [CHF] [Price Return]
SSFU	Credit Suisse Family Index EUR
SSGA	SGI Global Agriculture
SSGC	S&P GSCI Enhanced Capped Index
SSGD	S&P GLOBAL1200-Consumer Discretionary [Sector]
SSGE	S&P GLOBAL1200-Energy [Sector]
SSGF	S&P GLOBAL1200-Financials [Sector]
SSGG	SGI Global Generics Index [EURO] [NetTR]
SSGH	S&P GLOBAL1200-HealthCare [Sector]
SSGI	S&P GLOBAL1200-Information Technology [Sector]
SSGL	S&P GLOBAL1200
SSGM	S&P GLOBAL1200-Materials [Sector]
SSGN	S&P GLOBAL1200-Industrials [Sector]
SSGO	S&P GSCI E27 WTI Index
SSGP	S&P GSCI Enhanced Capped Index Excess Return
SSGR	S&P GSCI Enhanced Capped Index Total Return
SSGS	S&P GLOBAL1200-Consumer Staples [Sector]
SSGT	S&P GLOBAL1200-Telecommunication Services [Secto
SSGU	S&P GLOBAL1200-Utilities [Sector]
SSGX	S&P GSCI E27WTI Index Excess Return
SSGZ	S&P GSCI E27WTI Index Total Return
SSHE	S&P Europe 350 Shariah Index
SSHF	Credit Suisse Family Index CHF
SSHJ	S&P Japan 500 Shariah Index
SSHX	S&P 500 Shariah Index
SSIA	Credit Suisse Social Awareness Index
SSIB	S&P GSCI Softs Index Excess Return
SSIC	S&P GSCI Softs Index Total Return
SSIP	S&P DFI Index Excess Return
SSIS	S&P DFI Index
SSIT	S&P DFI Index Total Return
SSLF	S&P Select Frontier Index
SSLS	S&P Custom/BNP Paribas-SPECTRUM [GRIPTEST]
SSMI	Swiss Market
SSNI	SGI Global Nanotechnology Index [NetTR]
SSPA	S&P ADR Index
SSPE	S&P EUROPE 350
SSPF	S&P EUROPE 350 - Financials [Sector]
SSPI	S&P EUROPE 350 - Information Technology [Sector]
SSPL	S&P 500Telecom&IT
SSPN	S&P 500Energy[Sector]
SSPT	S&P EUROPE 350 - Telecommunication Services [Sec
SSPU	S&P EURO
SSRF	S&P Preferred Stock Index
SSRW	Revenue Shares Small Cap Fund
SSTR	SPECTRUM-Long/Short 8% Index TR [NEWVA]
SSTU	S&P 500 EQUAL WEIGHTED Utilities & Telecommunica
SSUC	S&P GSCI Capped Component 35/20 Index
SSUP	S&P GSCI Capped Component 35/20 Index Excess Ret
SSUT	S&P GSCI Capped Component 35/20 Index Total Retu
SSWP	S&P GSCI Select Equal Weight Index Er
SSWT	Credit Suisse Water Index
SSXP	Credit Suisse Social Awareness Index [Price]
SSXT	DWS Swi X Index [NetTRw/fees]
STCE	S&P Global Clean Energy Index [EURO]
STCL	S&P Global Clean Energy Index
STDA	S&P Target Date Retirement Income Index
STDB	S&P Target Date 2010 Index
STDC	S&P Target Date 2015 Index
STDD	S&P Target Date 2020 Index
STDE	S&P Target Date 2025 Index
STDF	S&P Target Date 2030 Index
STDG	S&P Target Date 2035 Index
STDH	S&P Target Date 2040 Index
STDI	S&P Target Date 2045 Index
STFE	S&P Global Timber and Forestry Index [EURO]
STFU	S&P Global Timber and Forestry Index
STI	STI Index
STIC	S&P CTI Total Return USD
STIF	S&P Global Infrastructure Index [EURO]
STIL	SGI Smart WTI Long Invest Index [NEWVA]
STIR	S&P Global Infrastructure Index
STIS	S&P Commodity Trends Indicator
STMP	Tortoise MLP Index
STNC	Tsx American Preferred Stock Index
STNU	S&P/Tsx North American Pref Stock Index
STOXX	DJ Stoxx 50 Index Euro
STRA	S&P Target Risk Aggressive Index
STRB	S&P Target Risk Moderate Index
STRC	S&P Target Risk Growth Index
STRD	S&P Target Risk Conservative Index
STRL	S&P LAC40 [US$] [NetTR]
STRN	S&P 500 [NetTR]
STRP	Credit Suisse Water Index [Usd] Price
STRS	S&P 500 TR Short
STRT	S&P 500 Telecommunication Services [TR]
STRU	S&P 500 Household & Personal Products [TR]
STSI	SGI Smart WTI Short Invest Index [NEWVA]
STSU	S&P TOP IX150 Shariah [USD]
STSY	S&P TOP IX150 Shariah
STTR	S&P 500 Technology Hardware & Equipment [TR]
SUCD	S&P Select Sector Capped 20% Consumer Discretion
SUCS	S&P Select Sector Capped 20% Consumer Staples In
SUEP	S&P Select Sector Capped 20% Energy Index Net TR
SUFP	S&P Select Sector Capped 20% Financials Index Ne
SUHC	S&P Select Sector Capped 20% HealthCare Index Ne
