Symbol	Description
KUT	Redishred Capital Corp.
KWF	Knightswood Financial Corp.
KXM	Kobex Capital Corp
KYU	Kaiyue International Inc
KZD	Kaizen Discovery Inc
KZX	Kazax Minerals Inc
KZZ	Nunavik Nickel Mines Ltd
LA	Los Andes Copper Limited
LAB	Imperus Technologies Cor
LAD	New Carolin Gold Corp
LAK	Lakeside Minerals Inc
LAN	Declan Resources Inc
LAQ	La Quinta Resources Corp
LAT	Latin American Minerals
LBI.H	Lions Bay Capital Inc.
LDM	Lago Dourado Minerals Lt
LE	Lariat Energy Ltd.
LEN	Lund Enterprises Corp
LET	Letho Resources Corp
LGN	Legend Gold Corp
LGO	Largo Resources Ltd.
LHC	Long Harbour Exploration
LHR	Lakeview Hotel Invest Co
LHR.DB.C	Lakeview Hotel Invest Co
LHR.DB.D	Lakeview Hotel Invest Co
LIO	Lion One Metals Limited
LIR	Lamelee Iron Ore Ltd
LIX	0Nelithium X Energy Corp
LL	Canada Rare Earth Corp
LLC	Lorraine Copper Corp.
LLG	Mason Graphite Inc
LM	Lingo Media Corporation
LMD	Led Medical Diagnostics
LME	Laurion Mineral Explorat
LMG	Lincoln Mining Corporati
LMR	Lomiko Metals Inc.
LMS	Less Mess Storage Inc
LND	Inspira Financial Inc
LND.DB	Inspira Financial Inc 4.00 Pct Debs
LNE	Loon Energy Corporation
LOT	Tomagold Corporation
LPC	Lorne Park Capital Partn
LPK	Lupaka Gold Corp
LPS	Legend Power Systems Inc
LRA	Lara Exploration Ltd
LRL	Luxor Industrial Corpora
LRN	Kgic Inc
LSI	Lonestar West Inc.
LTG	Lateral Gold Corp
LTV	Leonovus Inc
LTX	Labrador Technologies In
LVL	Lynden Energy Corp.
LXE	Leucrotta Exploration In
M	Mosaic Capital Corporati
M.PR.A	Mosaic Capital Corp Pref
MAC	Themac Resources Group L
MAD	Miranda Gold Corp.
MAE	Maritime Resources Corp.
MAH	Marksmen Energy Inc.
MAI	Minera Alamos Inc
MAN	Monster Mining Corp
MAP.P	Maple Peak Investments I
MAS	Masuparia Gold Corp.
MAT	Matamec Explorations Inc
MAZ.H	Mazarin Inc.
MBG	Malbex Resources Inc.
MBI	Med Biogene Inc.
MBO	Mobio Technologies Inc
MCA	Milner Consolidated Silv
MCC	Magor Corporation
MCE	Minecorp Energy Ltd
MCG	Mountain China Resorts H
MCI	Minnova Corp
MCK	Manson Creek Resources L
MCM.A	Matachewan Cons Mines
MCP.P	Maestro Capital Corporat
MCR	Macro Enterprises Inc.
MCS	Mcchip Resources Inc
MCU	Mega Copper Ltd.
MCW	Mcw Energy Group Limited
MD	Midland Exploration Inc.
MDL	Medallion Resources Ltd.
MDV	Megastar Development Cor
MDX	Medx Health Corp
MED	Medgold Resources Corp
MEI	Manitok Energy Inc.
MEK	Metals Creek Resources C
MEP	Marsa Energy Inc
MEZ	Mezzotin Minerals Inc.
MFM	Marifil Mines Ltd.
MFS	Medifocus Inc
MFX	Minfocus Exploration Cor
MGG	Minaurum Gold Inc.
MGI	Magnum Goldcorp Inc
MGS	Musgrove Minerals Corp
MGW	Maple Leaf Green World I
MGZ.H	Mangazeya Mining Ltd
MI	Mitchell Resources Ltd
MIA.P	Mira Ix Acquisition Corp
MIN	Excelsior Mining Corp
MIO	Mindoro Resources Ltd
MIR	Medmira Inc
MIT	The Mint Corporation
MIX	Micrex Development Corp
MJN	Pharmacan Capital Corp
MJS	Majestic Gold Corp.
MJX	Majescor Resources Inc.
MKA	Mkango Resources Ltd.
MKN	Makena Resources Inc
MKR	Melkior Resources Inc
MKT	Deepmarkit Corp
MLM	Millstream Mines Ltd.
MLN	Marlin Gold Mining Ltd
MLR	Melior Resources Inc
MLY	American Cumo Mining Cor
MMA	Midnight Sun Mining Corp
MML	Menika Mining Ltd
MMS	Macarthur Minerals Limit
MMV	Mineral Mountain Resourc
MMX	Macmillan Minerals Inc
MMY	Monument Mining Limited
MNH	Mena Hydrocarbons Inc
MNM	Magellan Minerals Ltd.
MNP	Mnp Petroleum Corporatio
MNX	Manitex Capital Inc.
MNY	Montan Mining Corp
MOC	Morumbi Resources Inc
MOE.H	Metropolitan Energy Corp
MOI	Mincom Capital Inc
MOM	Miraculins Inc.
MON	Montero Mining and Explo
MOO	Mooncor Oil and Gas Corp
MOR	Morgan Resources Corp
MOX	Morien Resources Corp
MPH	Medicure Inc
MPL	Maple Leaf Royalties Cor
MPS	Mph Ventures Corp.
MPT	Midpoint Holdings Ltd
MQL	Marquee Energy Ltd
MQR	Monarques Gold Corporati
MQR.WT.A	Monarques Gold Corporati
MRB	Morro Bay Resources Ltd
MRO	Millrock Resources Inc.
MRS	Mission Ready Services I
MRZ	Mirasol Resources Ltd.
MSA	Mesa Exploration Corp
MSD	Moseda Technologies Inc
MSP	Minaean SP Construction
MSR	Minsud Resources Corp.
MT	Mettrum Health Corp
MTB	Mountain Boy Minerals Lt
MTC	Metalcorp Ltd.
MTE	Mitra Energy Inc
MTH	Mammoth Resources Corp
MTM.H	Mitec Technologies Inc
MTO	Metanor Res Inc.
MTS	Metallis Resources Inc
MTU	Manitou Gold Inc
MTX	Metalex Ventures Ltd.
MTZ	Montana Exploration Corp
MU.H	0Nemonster Uranium Corp
MUM	Mustang Minerals Corp.
MUN	Mundoro Capital Inc
MV	Movit Media Corp
MVA.P	Mira Vii Acquisition Cor
MVM	Millenmin Ventures Inc
MVN	Madalena Energy Inc
MVP	Mediavalet Inc
MVW	Mountainview Energy Ltd.
MWI.UN	Maplewood International
MXI	Merrex Gold Inc.
MXM	Maxim Resources Inc.
MXR	Max Resource Corp
MXX	Matrrix Energy Technolog
MYA	Maya Gold & Silver Inc.
MZA.H	Miza Enterprises Inc
MZI	Mezzi Holdings Inc
NAA	Sierra Iron Ore Corp
NAI	Northern Abitibi Mng Cor
NAN	North American Nickel In
NAP	Napier Ventures Inc
NAR	North Arrow Minerals Inc
NBR	Nubian Resources Ltd
NBU	Nebu Resources Inc.
NCA	Newcastle Gold Ltd
NCE	Nesscap Energy Inc
NCI	Ntg Clarity Networks Inc
NCO	Nuvolt Corporation Inc.
NCX	Northisle Copper and Gol
NDR	New Dimension Resources
NED	New Destiny Mining Corp.
NEE	Northern Vertex Mining C
NEL.UN	Nobel Real Estate Invest
NEM	New Era Minerals Inc
NEO.H	Neoteck Solutions Inc
NER	Newmac Resources Inc
NET	Network Exploration Ltd.
NEV	Nevada Sunrise Gold Corp
NFD.A	Northfield Capital Corp.
NFE	Northern Iron Corp
NFK.H	Africa Hydrocarbons Inc
NFR	Northern Freegold Resour
NGC	Northern Graphite Corpor
NGE	Nevada Exploration Inc.
NGH	Nightingale Informatix C
NGM	Northern Gold Mining Inc
NGY.H	Newcastle Energy Corp
NGZ	0Nenrg Metals Inc
NHK	Nighthawk Gold Corp
NIA	Niagara Ventures Corpora
NIC	Pure Nickel Inc
NIK	Nikos Explorations Ltd.
NIM	Nicola Mining Inc
NIO	Niocan Inc
NIP	Nippon Dragon Resources
NIR	Noble Iron Inc
NKW	Naikun Wind Energy Group
NL	Northern Lion Gold Corp
NLL	Nsi Strategic Investment
NM	Northern Empire Resource
NMD	Nomad Ventures Inc
NMG	Noble Metal Group Inc
NMX	Nemaska Lithium Inc
NNA	New Nadina Explorations
NNO	Nano One Materials Corp
NNP	Newnorth Projects Ltd.
NNX	Nickel North Exploration
NOG	Nordic Oil & Gas Ltd.
NOL.H	Knol Resources Corp
NOR	North Group Finance Limi
NOT	Noront Resources Ltd.
NOU	Nouveau Monde Mining Ent
NOX	Niogold Mining Corp.
NPA	Alphinat Inc.
NPD	North American Potash De
NPH	Vanc Pharmaceuticals Inc
NQ	Northquest Ltd.
NQE	Nq Exploration Inc.
NR	Newstrike Resources Ltd.
NRL	Natan Resources Ltd
NRM	Noram Ventures Inc
NRN	Northern Shield Resource
NRT	Big North Graphite Corp
NSC	Northern Sun Mining Corp
NSP	Naturally Splendid Enter
NSX	Nsgold Corporation
NSY	Nsx Silver Inc
NTC	North American Tungsten
NTE	Network Media Group Inc
NTN.H	Newton Energy Corporatio
NTQ	Novateqni Corporation
NTS	Nanotech Security Corp
NTY	92 Resources Corp
NU	Neutrisci International
NUG	Nulegacy Gold Coporation
NUK	North Sea Energy Inc
NVM	Nevada Clean Magnesium I
NVO	Novo Resources Corp
NVT	Nortec Minerals Corp.
NVV	Norvista Capital Corp
NVX	Nv Gold Corporation
NVY	Navy Resources Corp
NW	New World Resources Corp
NWE	New West Energy Services
NWX	Newport Exloration Ltd
NX	Noka Resources Inc
NXE	Nexgen Energy Ltd
NXE.WT	Nexgen Energy Ltd Wts
NXG	Nexgenrx Inc.
NXS	Nexus Gold Corp
NXT	Natcore Technology Inc.
NXX	Nordex Explosives Ltd
NYX	Nyx Gaming Group Limited
NYX.DB	Nyx Gaming Group Ltd 9.0 Pct De
NYX.WT	Nyx Gaming Group Ltd Wts
NZ	New Zealand Energy Corp
NZN	Nevada Zinc Corporation
OA.H	Oramericas Corp
OCN	Oceanus Resources Corp
OCO	Oroco Resource Corp.
ODN	Odin Mining and Explorat
ODS	Odesia Group Inc.
OEC	Oracle Energy Corp
OEE	Astrix Networks Inc
OEG	Onenergy Inc
OGI	Organigram Holdings Inc
OIL	Lgx Oil and Gas Inc
OLA	Orla Mining Ltd
OLV	Olivut Resources Ltd.
OML	Omni-Lite Industries Can
OMM	Omineca Mining and Metal
OMN	Oracle Mining Corp
OMR.H	Ord Mountain Resources C
ON	Oneroof Energy Group Inc
ONE	01 Communique Laboratory
OOI	Oil Optimization Inc
OOO	Otis Gold Corp.
OPA	Opal Energy Corp
OPS	Opsens Inc.
OPW	Opawica Explorations Inc
ORC.B	Orca Exploration Group I
ORG	Orca Gold Inc
ORR	Orofino Minerals Inc
ORS	Orestone Mining Corp
ORX	Orefinders Resources Inc
OSS	Onesoft Solutions Inc
OVT	Oculus Visiontech Inc
OX	Orex Exploration Inc.
OY	Oyster Oil and Gas Ltd
OYL	Cgx Energy Inc
PA	Palamina Corp
PAK	Pacific Coal Resources L
PAN	Pangolin Diamonds Corp
PBM	Pacific Bay Minerals Ltd
PBR	Para Resources Inc
PBS	Pacgen Life Science Corp
PCI	Perlite Canada Inc.
PCO	Phoenix Canada Oil Co.Lt
PCQ	Petrolympic Ltd.
PCR	Pinecrest Resources Ltd
PCS	Platinum Communications
PCV	Pacific Cascade Minerals
PCV.H	Pacific Cascade Minerals Inc
PDA.H	Panda Capital Inc
PDP	Pediapharm Inc
PDQ	Petrodorado Energy Ltd
PE	Pure Energy Minerals Lim
PEA	Petrolia Inc.
PEH	Primeline Energy Holding
PEO	People Corporation
PET	Peat Resources Ltd.
PEX	Pacific Ridge Exploratio
PFC	Petrofrontier Corp.
PFM	Prontoforms Corporation
PFN	Pacific North West Capit
PGC	Plato Gold Corp.
PGE	Group Ten Metals Inc
PGM	Pure Gold Mining Inc
PGO.H	Pacific Geoinfo Corp.
PGV	Prodigy Ventures Inc
PGX	Prosper Gold Corp
PGZ	Pan Global Resources Inc
PHC.H	Phoenix Metals Corporati
PHI	Philippine Metals Inc
PHL.H	Planet Health Corp
PHM	Patient Home Monitoring
PHM.DB	Patient Home Monitoring
PHO	Photon Control Inc.
PIT.H	Pitchblack Resources Ltd
PJT	Partner Jet Corp.
PJX	Pjx Resources Inc
PKC.H	Pacific Link Mining Corp
PKL	PC Gold Inc
PKT	Parkit Enterprise Inc
PLA	Plata Latina Minerals Co
PLC	Park Lawn Corporation
PLP.H	Plicit Capital Corp
PLR	Plate Resources Inc
PLU	Plateau Uranium Inc
PLY	Playfair Mining Ltd
PM	Prism Medical Ltd.
PMA	Petromaroc Corporation P
PMD	Prima Diamond Corp
PMI	Petromanas Energy Inc.
PML	Panoro Minerals Ltd
PMO.H	Prime City One Capital C
PMR	Prime Meridian Resources
PMX	Proam Exploration Corpor
PNE	Pine Cliff Energy Ltd.
PNE.R	Pine Cliff Energy Ltd Sub Receipts
PNG	Kraken Sonar Inc
PNN	Pennine Petroleum Corpor
PNR.H	Prince Resource Corp
POC	Pacific Iron Ore Corpora
POE	Pan Orient Energy Corp.
POP	Petro One Energy Corp
POR	Portofino Resources Inc
PPA	Panorama Petroleum Inc
PPC	Patriot Petroleum Corp.
PPE	Pacific Paradym Energy I
PPK	Prospect Park Capital Co
PPP	Parlane Resource Corp
PPV.H	P and P Ventures Inc
PPX	Peruvian Precious Metals
PPZ.H	Pacific Topaz Resources
PRB	Probe Metals Inc
PRD	Prd Energy Inc
PRG	Precipitate Gold Corp
PRH	Pearl River Holdings Ltd
PRJ	Petro Rio Sa
PRN	Profound Medical Corp
PRO	Pershimco Resources Inc.
PRS.H	Prism Res Inc.
PRV.UN	Pro Real Estate Investme
PRV.WT	Pro Real Estate Investme
PSH	Petroshale Inc
PSL	Prospero Silver Corp.
PSP	Pacific Safety Products
PST	Pistol Bay Mining Inc
PTA	Petroamerica Oil Corp.
PTC	Petrox Resources Corp
PTE	Pioneering Technology Co
PTF	Pender Growth Fund Vcc I
PTG	Pivot Technology Solutio
PTK	Poet Technologies Inc
PTP	Petrichor Energy Inc
PTR	Petromin Resources Ltd.
PTU	Purepoint Uranium Group
PTX	Platinex Inc.
PUC	Pancontinental Uranium C
PUM	Puma Exploration Inc
PVF	Partners Value Fund Inc
PX	Pelangio Exploration Inc
PXA	Phoenix Gold Resources C
PXI	Planet Mining Exploratio
PYD	Poydras Gaming Finance C
PYD.DB.U	Poydras Gaming Finance 1
PYR	Pyrogenesis Canada Inc
PYT	Pyng Medical Corp.
Q.A	Questfire Energy Corp Cl
Q.B	Questfire Energy Corp Cl
QF	0Nequickflow Health Inc
QGR	Q Gold Resources Ltd
QHR	Qhr Corporation
QI	Q Investments Ltd.
QIC	Quantum International In
QIS	Quorum Information Techn
QIT	Quinto Real Capital Corp
QMX	Qmx Gold Corporation
QPT	Quest Pharmatech Inc.
QQ	Quizam Media Corporation
QST	Questor Technology Inc.
QTA	Quaterra Resources Inc.
QXP	Quattro Exploration and
QZM	Quartz Mountain Resource
RAB	Rambler Metals and Minin
RAK	Rackla Metals Inc
RAU.H	Regency Gold Corp.
RB	Russell Breweries Inc.
RBE	Rockbridge Resources Inc
RBX	Robex Resources Inc
RCK	Rock Tech Lithium Inc
RCT	Rochester Resources Ltd.
RCU	Rockcliff Copper Corporation
RD	Red Eagle Mining Corp
RDS	Radisson Mining Resource
RDU	Radius Gold Inc.
REC	Reliant Gold Corp
REG	Regulus Resources Inc
REK	Reko International Group
REL	Roughrider Exploration L
REN	Renaissance Gold Inc
REO	Reservoir Capital Corp.
RER	Remo Resources Inc
REX	Orex Minerals Inc
REZ	Redzone Resources Ltd
RFC	Rifco Inc.
RG	Romios Gold Resources In
RGC	Redstar Gold Corp.
RGD	Reunion Gold Corporation
RGI	Reco International Group Inc.
RGM	Remington Resources Inc.
RGZ	Randsburg International
RHA	Annidis Corporation
RHC	Rockefeller Hughes Corpo
RHR	Redhill Resources Corp
RI	Reliance Resources Limit
RIN	Resinco Capital Partners
RIR	Rainmaker Resources Ltd
RJ	Rojo Resources Ltd
RJX.A	Rjk Explorations Ltd. C
RK	Rockhaven Resources Ltd.
RKR	Rokmaster Resources Corp
RL	Rockland Minerals Corp
RM	Rodinia Lithium Inc.
RMC	Reservoir Minerals Inc
RMD	Richmond Minerals Inc.
RMK	Red Moon Potash Inc
RML	Rusoro Mining Ltd
RMN	Red Tiger Mining Inc
RMO	Rainy Mountain Royalty C
RMR	Rome Resources Ltd.
RMT	Raimount Energy Inc
ROB	Red Hut Metals Inc
ROC	Red Oak Mining Corp
ROE	Renaissance Oil Corp
ROE.WT	Renaissance Oil Corp Wts
ROG	Roxgold Inc.
ROI	Route1 Inc.
ROL.P	Roll Up Capital Corp
ROS.H	Roscan Minerals Corporat
ROX	Canstar Resources Inc.
RP	Replicel Life Sciences I
RPC	Raise Production Inc
RPM	Rye Patch Gold Corp
RPP	Regent Pacific Propertie
RPR	Rapier Gold Inc
RPT	Arpetrol Ltd
RPX	Red Pine Exploration Inc
RQM.H	Redquest Capital Corp
RRC	Rockridge Capital Corp.
RRE	Reg Technologies Inc
RRI	Riverside Resources Inc.
RRK	Red Rock Energy Inc.
RRL	Relentless Resources Ltd
RRR.UN	R and R Real Estate Inve
RRS	Rogue Resources Inc
RSL	Royal Sapphire Corp
RST	Rosita Mining Corporatio
RSV	Resolve Ventures Inc.
RSY	Rsi International System
RTH	Rathdowney Resources Ltd
RTI	Radient Technologies Inc
RTM	Rt Minerals Corp
RUF.DB.U	Pure Multi Family REIT L
RUF.U	Pure Multi Family REIT L
RUF.UN	Pure Multi Family REIT L
RUG	Rugby Mining Limited
RUM	Rocky Mountain Liquor In
RUM.DB	Rocky Mountain Liquor In
RUN	Running Fox Resource Cor
RUP	Rupert Resources Ltd.
RVA	Reva Resources Corp.
RVL	Revelo Resources Corp
RVV	Revive Therapeutics Ltd
RW	Renoworks Software Inc.
RX	Biosyent Inc.
RYO	Rio Silver Inc
RYP.H	Ripper Oil and Gas Inc
RYR	Royal Road Minerals Limi
RYU	Ryu Apparel Inc
RZ	Revolver Resources Inc
RZZ	Abitibi Royalties Inc
SA	Southern Arc Minerals In
SAB.H	Saber Capital Corp
SAE	Sable Resources Ltd
SAH	Sahara Energy Ltd
SAI	Sunshine Agri Tech Inc.
SAO	San Angelo Oil Limited
SAT	Asian Television Network
SAY.H	Sparta Capital Ltd
SBG.H	Spirit Bear Capital Corp
SBL.H	Santa Barbara Resources
SBM	Sirona Biochem Corp.
SBW	Strongbow Exploration In
SBX	Sea Breeze Power Corp
SC.H	Serrano Resources Ltd
SCA	Savary Gold Corp
SCD	Samoth Oilfield Inc.
SCG	Selectcore Ltd.
SCR	Thescore Inc
SCR.WT	Thescore Inc Wts
SCZ	Santacruz Silver Mining
SDC	Solidusgold Inc
SDE	Standard Exploration Ltd
SDS	Seair Inc.
SDX	Sea Dragon Energy Inc.
SDZ	Security Devices Interna
SE	Stonehaven Exploraton Lt
SEB	Smart Employee Benefits
SEI	Sintana Energy Inc
SEK	Secova Metals Corp.
SEW	Seaway Energy Services I
SFD	Nxt Energy Solutions Inc
SFM	Santa Fe Metals Corporat
SFT	Softrock Minerals Ltd.
SFX	Sphinx Resources Ltd
SG	Sg Spirit Gold Inc
SGA	Samco Gold Limited
SGB	Solegear Bioplastic Tech
SGC	Sunridge Gold Corp
SGC.WT	Sunridge Gold Corp Wts
SGE	Strategem Capital Corp
SGG	Snipgold Corp
SGH	Standard Graphite Corpor
SGM	Sutter Gold Mining Inc.
SGN	Scorpio Gold Corporation
SGU	Signature Resources Ltd
SGW	Shoal Games Ltd
SGX	Sage Gold Inc.
SGZ	Sego Resources Inc.
SHI	Sunrise Resources Ltd
SHJ	Shoshoni Gold Ltd
SHL	Spruce Ridge Resources L
SI	Stratton Resources Inc
SIC	Sokoman Iron Corp
SIE	Sienna Resources Inc
SIL	Silvercrest Metals Inc
SIM	Siyata Mobile Inc.
SIO	Sensio Technologies Inc.
SIP	Sniper Resources Ltd.
SIR	Serengeti Resources Inc.
SJL	Saint Jean Carbon Inc
SJR.A	Shaw Communications Inc.
SKE	Skeena Resources Limited
SKK	Strikewell Energy Corp.
SKP	Strikepoint Gold Inc.
SKX	Striker Exploration Corp
SLC	Slyce Inc
SLG	Sterling Resources Ltd
SLK	Silk Road Energy Inc
SLM	Slater Mining Corporatio
SMB	Simba Energy Inc.
SMD	Strategic Metals Ltd
SME	Sama Resources Inc Resso
SMI	Saturn Minerals Inc.
SMM	Silver Mountain Mines In
SMN	San Marco Resources Inc.
SMO	Sonoro Metals Corp
SMP	Strata Minerals Inc
SMQ.H	Santa Maria Petroleum In
SMS	Sustainco Inc
SMY	Search Minerals Inc.
SN	Sennen Potash Corporatio
SNA	Star Navigation Systems
SNF	Sunora Foods Inc
SNG	Silver Range Resources L
SNI.PR.A	Sonor Investments Limited
SNM	Shamaran Petroleum Corp.
SNR	Senator Minerals Inc.
SNS	Select Sands Corp
SNV	Sonoro Energy Ltd
SOC	Sonora Gold & Silver Cor
SOF	International Softrock O
SOG	Strategic Oil and Gas Lt
SOI	Sirios Resources Inc.
SOJ	Sojourn Ventures Inc
SOP	Source Exploration Corp.
SOR	Sora Capital Corp
SPA	Spanish Mountain Gold Lt
SPC	Superior Copper Corp
SPD	Silver Predator Corp
SPF	Silver Pursuit Resources
SPI	Canadian Spirit Resource
SPK	Sunset Pacific Petroleum
SPN	Snipp Interactive Inc
SPP	Spot Coffee Canada Ltd.
SPS.A	Sportscene Group Inc.
SPT	Stockport Exploration Inc
SPX	Stellar Africagold Inc
SQD	Sqi Diagnostics Inc.
SQG	Spackman Equities Group
SRA	Stria Lithium Inc
SRC	Stakeholder Gold Corp
SRE	Saville Resources Inc.
SRI	Sparton Resources Inc
SRJ	Spearmint Resources Inc
SRK	Strike Diamond Corp
SRL	Salazar Resources Limite
SRO	Section Rouge Media Inc.
SRX	Storm Resources Ltd
SS	Summus Solutions Nv
SSA	Spectra Inc
SSC	Smartcool Systems Inc.
SSE	Silver Spruce Resources
SSG	Sigma Industries Inc
SSI	Southern Sun Minerals In
SSN	Stetson Oil
SSP	Sandspring Resources Ltd
SSR.H	Silver Shield Resources
SSV	Southern Silver Explorat
STA	Sanatana Resources Inc
STC	Sangoma Technologies Cor
STE	Starr Peak Exploration Ltd
STH	Stelmine Canada Ltd.
STI	Strategic Resources Inc
STR.H	Santa Rosa Resources Cor
STS.H	Stem 7 Capital Inc
STT	Stt Enviro Corp
SUD.A	Starlight US Multi Famil
SUF.A	Starlight US Multi Famil
SUF.U	Starlight US Multi Famil
SUG	Suparna Gold Corp
SUI.H	Superior Mining Internat
SUL	Sultan Minerals Inc.
SUP	Northern Superior Resour
SUS.A	Starlight US Multi Famil
SV	Simavita Limited
SVA	Sernova Corp.
SVG	Silver Grail Resources L
SVI	Storagevault Canada Inc.
SVP.H	Sceptre Ventures Inc
SVS	Solarvest Bioenergy Inc
SVT	Savant Explorations Ltd.
SWA	Sarama Resources Ltd
SWR.H	Swift Resources Inc
SXE	Strata X Energy Ltd
SXL	Slam Exploration Inc
SXR	SGX Resources Inc
SY	Symbility Solutions Inc
SYD	Synodon Inc.
SYH	Skyharbour Resources Ltd
SYI	Silvermet Inc.
SYL	Symax Lift Holding Co. L
SYN	Syncordia Tech and Healt
SYR.H	Sky Ridge Resources Ltd
SYS	Sona Resources Corp
SYZ	Sylogist Ltd
SZM	Scozinc Mining Ltd
TAC	Tasca Resources Ltd
TAE	Transamerican Energy Inc
TAJ	Tajiri Resources Corp
TAN	Tanager Energy Inc
TAR	Astar Minerals Ltd
TAU	Tintina Resources Inc.
TAW	Tawsho Mining Inc.
TBO	Turbo Capital Inc
TBR	Timberline Resources Cor
TCA	Timia Capital Corp
TCX	Thermoceramix Corporatio
TDR.H	Tudor Corporation Ltd
TE	Trinity Valley Energy Co
TEA	Tearlach Resources Limit
TEM	Tembo Gold Corp
TEN	Terraco Gold Corp.
TEP.DB	Transeastern Power Trust
TEP.UN	Transeastern Power Trust
TES	Tesoro Minerals Corp
TGC	Terra Nova Energy Ltd
TGI.H	True Grit Resources Ltd
TGK	Trio Gold Corp
TGM	True Gold Mining Inc
TGR	Tiger International Reso
TGV	Tango Mining Limited
TGX	True North GEMS Inc.
THH	Theia Resources Ltd.
THR	Thundermin Resources Inc
THX	Thor Explorations Ltd.
TIC	Titanium Corporation Inc
TII	Terra Firma Capital Corp
TIL	Till Capital Ltd
TIN	Eurotin Inc
TIP.H	Tyner Resources Ltd
TIR	Tiller Resources Ltd
TJ	Tad Mineral Exploration
TK	Tinka Resources Ltd
TKK	Takara Resources Inc.
TKU	Tarku Resources Ltd
TLA	Titan Logix Corp
TLK	Frankly Inc
TLT	Theralase Technologies I
TMG	Thermal Energy Internati
TMV	3Mv Energy Corp
TNA	Evergreen Gaming Corpora
TNC	Tio Networks Corp.
TNG	Transgaming Inc.
TNO.H	Terreno Resources Corp
TNR	Tnr Gold Corp
TOE	Tri Origin Exploration L
TOM	Tolima Gold Inc
TON	Standard Tolling Corp
TOO	Toro Oil and Gas Ltd
TPC	Tenth Avenue Petroleum C
TPN	Taipan Resources Inc.
TQY.H	Tanqueray Exploration Lt
TRA	Teras Resources Inc
TRB	Tribute Resources Inc
TRG.H	Trigen Resources Inc
TRM	Trueclaim Exploration In
TRO	Taranis Resources Inc.
TRS	Tres-Or Resources Ltd.
TRU	Trius Investments Inc.
TRX	Tribute Pharmaceuticals
TSD	Tsodilo Resources Ltd
TSG	Tristar Gold Inc.
TSM	Tasman Metals Ltd.
TSN	Telson Resources Inc
TSP	Titan Star Properties In
TSP.DB	Titanstar Properties Inc
TSR.H	Top Strike Resources Cor
TTD	Tinkerine Studios Ltd
TTM	3Tl Technologies Corp
TTR	Titanium Transportation
TTZ	Total Telcom Inc.
TUF	Honey Badger Exploration
TUO	Teuton Resources Corp
TUS	Tuscany Energy Ltd
TVL	Traverse Energy Ltd.
TWM	Tidewater Midstream and
TWR	Tower Resources Ltd
TXR	Terrax Minerals Inc.
TXX	Tirex Resources Ltd.
TYE	Troymet Exploration Corp
TYP	Typhoon Exploration Inc.
TZM	Tanzania Minerals Corp
TZR	Terrace Energy Corp
UBN	Urban Communications Inc
UBR	Uragold Bay Resources In
UBS.H	Unique Broadband Systems
UCU	Ucore Rare Metals Inc
UFC	Urbanfund Corp.
UG	Uge International Ltd
UGD	Unigold Inc.
UI	Urbanimmersive Technolog
ULI	Ultra Lithium Inc.
UMF.A	Starlight US Multi Famil
UMF.U	Starlight US Multi Famil
UNI	Unisync Corp Class B
UNO	Northern Uranium Corp
URA	Anglo Canadian Mining Co
URC	Uracan Resources Ltd.
USO	US Oil Sands Inc
USR	Uranium Standard Resourc
USS	Uniserve Communications
UTY	Unity Energy Corp
UVN	Uravan Minerals Inc.
VAL	Valgold Resources Ltd
VAN	Vangold Resources Ltd
VAX	Vantex Resources Ltd.
VBI.H	Vivione Biosciences Inc
VCI	Vitreous Glass Inc.
VCV.H	Vatic Ventures Corp
VDO	Nevado Resources Corpora
VDR	Vendome Resources Corp.
VEL	Vanoil Energy Ltd.
VFI.H	Verdant Financial Partne
VGD	Visible Gold Mines Inc.
VGL	Vigil Health Solutions I
VGN	Greencastle Res Ltd.
VGO	Vogogo Inc
VHO	Virginia Hills Oil Corp
VID	Vidwrx
VIE.P	Vier Capital Corp
VIO	Societe D Exploration Mi
VIS	Visionstate Corp
VIT	Victoria Gold Corp.
VIV	Avivagen Inc
VLA	Vela Minerals Ltd
VLV	Venerable Ventures Ltd.
VML	Viscount Mining Corp
VMS	Vms Ventures Inc.
VMY.H	Voice Mobility Internati
VOL	Volcanic Metals Corp
VPI	Vitality Products Inc.
VPO.H	Valparaiso Energy Inc.
VPT	Ventripoint Diagnostics
VPY	Versapay Corporation
VQA	Valterra Resource Corp
VQS	Viq Solutions Inc.
VR	Victory Resources Corpor
VRB	Vanadiumcorp Resource In
VRD	Viridis Energy Inc.
VRS	Verisante Technology Inc
VRY	Petro Victory Energy Cor
VSR	Vanstar Mining Resources
VTI	Valdor Technology Intern
VTT	Vendetta Mining Corp
VUI	Virginia Energy Resource
VUL	Vulcan Minerals Inc
VV	Versatile Systems Inc.
VVA	Avagenesis Corp
VVC	Vvc Exploration Corp.
VVN	Victory Ventures Inc
VZZ	Uranium Valley Mines Ltd
WAF	West African Resources L
WAF.WT	West African Resources L
WAI	Wai Capital Investments
WAR	War Eagle Mining Company
WAS.H	Watusi Capital Corp
WAV	Pepcap Resources Inc
WBE	Westbond Enterprises Cor
WCB	Wcb Resources Ltd
WCC	Consolidated Woodjam Cop
WCE	Wescan Energy Corp
WCX	Williams Creek Gold Limi
WEB	Westbridge Energy Corpor
WED	The Westaim Corporation
WEE	Wavefront Technology Sol
