Symbol	Description
AIND	Amundi Investment Solutions
AIR	Air Partner Plc
AJG	Atlantis Japan Growth Fund Ld
AJIT	Aberdeen Japan Investmen
AK44	Enterprise Inns Plc
AKR	Akers Biosciences Inc.
AKRN	Jsc Acron
ALAI	Aberdeen Latin American Income Fund Limi
ALAS	Aberdeen Latin American Income Fund Limi
ALAT	Amundi Investment Solutions
ALAU	Amundi Investment Solutions
ALBA	Alba Mineral Resources Plc
ALBH	Aluminium Bahrain B.S.C.
ALD	Aldermore Group Plc
ALF	Alternative Liquidity Fu
ALLG	All Leisure Group Plc
ALM	Allied Minds Plc
ALNT	Alent Plc
ALO	Alecto Minerals Plc
ALP1	Alpha Plus Holdings Plc
ALPH	Alpha Pyrenees Trust Ltd
ALT	Altitude Group Plc
ALU	Alumasc Group Plc
ALUM	ETFS Commodity Securities Limited
ALUU	UBS Ag
ALY	Ashley [Laura] Holdings Plc
AMA	Amara Mining Plc
AMBR	Ambrian Plc
AMC	Amur Minerals Corporation
AMED	Amedeo Resources Plc
AMER	Amerisur Resources Plc
AMFW	Amec Foster Wheeler Plc
AML	Amlin Plc
AMO	Amino Technologies Plc
AMP	Amphion Innovations Plc
AMPH	Aggregated Micro Power H
AMS	Advanced Medical Solutions Group Plc
AN	ALTERNATIVE NETWORKS ORD GBP0.00125
AN94	Barclays Bank Plc
AN95	Barclays Bank Plc
ANA	All Nippon Airways Co Ld
ANCR	Animalcare Group Plc
ANDEAN40	FTSE Andean 40
ANH	Al Noor Hospitals Group
ANP	Anpario Plc
ANR	Altona Energy Plc
ANRJ	Amundi Investment Solutions
ANTO	Antofagasta Plc
ANW	Aberdeen New Thai Investment Trust Plc
ANX	Amundi Investment Solutions
ANXU	Amundi Investment Solutions
AO	AO World
AOF	Africa Opportunity Fund Limited
AOMD	Ao Mosenergo
AOR	Aortech International Plc
APAX	Apax Global Alpha Limite
APC	Advanced Power Components Plc
APEF	Aberdeen Private Equity Fund Ld
APF	Anglo Pacific Group Plc
APGN	Applegreen Plc
APH	Alliance Pharma Plc
APR	Apr Energy Plc
APT	Axa Property Trust Limited
AQP	Aquarius Platinum Ld
ARBB	Arbuthnot Banking Group Plc
ARC	Arcontech Group Plc
ARDN	Arden Partners Plc
ARG	Argos Resources Limited
ARGO	Argo Group Limited
ARGP	Alpha Returns Group Plc
ARL	Atlantis Resources Limit
ARM	Arm Holdings Plc
ARO	Arricano Real Estate Plc
ARR	Aurora Investment Trust Plc
ARS	Asiamet Resources Limite
ARTA	Artilium Plc
ARTL	Alpha Real Trust Limited
ARW	Arrow Global Group Plc
AS14	Equity Release Funding (
ASA	ASA Resource Group Plc
ASAT	FTSE Asian Autos & Trucks Index
ASBA	FTSE Asian Banks Index
ASBE	Associated British Engineering Plc
ASBR	FTSE Asian Basic Resources Index
ASC	Asos Plc
ASCD	Asia Cement Corporation
ASCH	Aberdeen Smaller Companies High Income T
ASCM	FTSE Asian Construction & Materials Inde
ASDV	SSGA SPDR ETFS Europe I
ASDX	RBS Market Access
ASEAN40	FTSE Asean 40 Index
ASEAN40N	FTSE Asean 40
ASEANAS	FTSE Asean All-Share Ind
ASEANEM	FTSE Asean All-Share Ex
ASEANSTR	FTSE Asean Stars Index
ASECE	Ftse/Athex Capped 20 Index
ASECU	Ftse/Athex 20 Capped Index
ASFS	FTSE Asian Financial Services Index
ASH	Ashley House Plc
ASHC	FTSE Asian Health Care Index
ASHM	Ashmore Group Plc
ASHR	DB X-Trackers
ASIA	SSGA SPDR ETFS Europe I Plc
ASIG	FTSE Asian Industrial Goods & Services I
ASIL	Lyxor International Asse
ASIU	Lyxor International Asse
ASL	Aberforth Smaller Companies Trust Plc
ASPH	FTSE Asian Personal & Household Goods In
ASPL	Aseana Properties Limited
ASPR	FTSE Asian Personal & Household Goods In
ASRE	FTSE Asian Retail Index
AST	Ascent Resources Plc
ASTC	FTSE Asian Telecommunications Index
ASTE	FTSE Asian Technology Index
ASTL	FTSE Asian Travel Leisure & Media Index
ASTO	Assetco Plc
ASUT	FTSE Asian Utilities Index
ASX	FTSE All-Share
ASXDIGEQ	FTSE All Share Digital S
ASXX	FTSE All-Share [Exit]
ASY	Andrews Sykes Group Plc
AT2	Amati Vct 2 Plc
ATAD	Oao Tatneft
ATC	Atlantic Coal Plc
ATGOV01	FTSE Austria Government
ATI	Amati Vct Plc
ATK	Atkins [Ws] Plc
ATMA	Atlas Mara Co-Nvest Limi
ATQT	Attraqt Group Plc
ATR	Asian Total Return Inves
ATRF	Ashmore Sicav
ATS	Artemis Alpha Trust Plc
ATSS	Artemis Alpha Trust Plc
ATST	Alliance Trust Plc
ATT	Allianz Technology Trust
ATY	Athelney Trust Plc
ATYM	Atalaya Mining Plc
AUCO	Etfx Fund Company Plc
AUCP	Etfx Fund Company Plc
AUCT	Auctus Growth Plc
AUDP	ETFS Foreign Exchange Limited
AUE	Aureus Mining Inc.
AUEM	Amundi Investment Solutions
AUG	Augean Plc
AUGB	ETFS Foreign Exchange Limited
AUK	Aukett Fitzroy Robinson Group Plc
AUKD	Amundi Investment Solutions
AUKT	Aberdeen UK Tracker Trus
AUM	Aurasian Minerals Plc
AUP3	ETFS Foreign Exchange Li
AUR	Aurum Mining Plc
AURR	Aurora Russia Limited
AUTO	Auto Trader Group Plc
AV	Aviva
AV.A	Aviva Plc
AV.B	Aviva Plc
AV20	Aviva Plc
AVA	Avanti Capital Plc
AVAP	Avation Plc
AVCT	Avacta Group Plc
AVG	Avingtrans Plc
AVGR	Avangardco Investments P
AVM	Avocet Mining Plc
AVN	Avanti Communications Group Plc
AVO	Advanced Oncotherapy Plc
AVON	Avon Rubber Plc
AVP	Armstrong Ventures Plc
AVR	Avarae Global Coins Plc
AVS	Avesco Group Plc
AVV	Aveva Group Plc
AW01	FTSE All World
AW02	FTSE All World Ex US
AW03	FTSE All World Ex UK
AW04	FTSE All World Ex Japan
AW05	FTSE All World Ex South
AW06	FTSE FTSE All World Asia
AW07	FTSE All World Asia Paci
AW08	FTSE All World Asia Pac
AW09	FTSE All World Asia Pac
AW10	FTSE All World Greater C
AW11	FTSE All World Europe
AW12	FTSE All World Europe Ex
AW13	FTSE All World Europe Ex
AW14	FTSE All World Eurobloc
AWALEMVN	FTSE Emerging Minimum Va
AWALLEN	FTSE Emerging Net of Tax
AWALLER	FTSE Emerging Net Tax (U
AWAMERS	FTSE Americas Index
AWDEUMVN	FTSE Developed Europe Mi
AWDEURSC	FTSE Developed Europe In
AWDEURSE	FTSE Developed Europe In
AWDEURSG	FTSE Developed Europe In
AWDEURU	FTSE Developed Europe Un
AWDPAC	FTSE Developed Asia Paci
AWDPACXJ	FTSE All-World Devlop Asia Pacific Exclu
AWDPCXJE	FTSE Developed Asia Paci
AWDPCXJG	FTSE Developed Asia Paci
AWDPXJC	FTSE Developed Asia Paci
AWDXNAR	FTSE Developed Ex North
AWDXNAU	FTSE Developed Ex North
AWEBCMVN	FTSE Eurobloc Minimum Va
AWHDY01	FTSE All-World High Divi
AWHDY01C	FTSE All-World High Divi
AWHDY01E	FTSE All-World High Divi
AWHDY01G	FTSE All-World High Divi
AWNAMERS	FTSE All-World North America Index
AWNT01HK	FTSE Japan Net Tax Hkd I
AWNT04	FTSE Developed Net Tax I
AWNT04CH	FTSE Developed Net Tax C
AWNT04EU	FTSE Developed Net Tax E
AWNT04UK	FTSE Developed Net Tax G
AWNT05	FTSE Developed Europe Ex
AWNT05CH	FTSE Developed Europe Ex
AWNT05EU	FTSE Developed Europe Ex
AWNT05UK	FTSE Developed Europe Ex
AWNT06HK	FTSE Developed Europe Ne
AWNT13	FTSE Developed Ex North
AWNT14	FTSE North America Net T
AWNT14CH	FTSE North America Net T
AWNT14EU	FTSE North America Net T
AWNT14UK	FTSE North America Net T
AWPXJANN	FTSE Asia Pacific Ex Jap
AXB	Axis Bank Limited
AXI	Axiom European Financial Debt Limited
AXM	Alexander Mining Plc
AXS	Accsys Technologies Plc
AXX	FTSE Aim All-Share Index
AYM	Anglesey Mining Plc
AZN	Astrazeneca Plc
B8F	Biofrontera Ag
BA	Bae Systems Plc
BA47	City of London Investmen
BA76	MANCHESTER SHIP CANAL CO 4% PERP DEB STK
BAB	Babcock International Group Plc
BABS	Bluecrest Allblue Fund Limited
BABU	Bluecrest Allblue Fund Limited
BAC	Bank of America Corporation
BACK	Ishares IV Plc
BACS	Ishares IV Plc
BACT	Bacit Limited
BAF	British & American Investment Trust Plc
BAG	Barr [A.G.] Plc
BAGR	Bagir Group Ltd.
BAR	Eclectic Bar Group Plc
BARC	Barclays Plc
BATS	British American Tobacco Plc
BAUD	Bajaj Holdings & Investm
BAV	Baronsmead Vct 5 Plc
BB50	Barclays Bank Plc
BBA	Bba Aviation Plc
BBC30	FTSE Bbc Global 30 Index
BBEL	Multi Units France
BBEM	Multi Units France
BBGI	Bilfinger Berger Global Infrastructure S
BBOX	Tritax Big Box REIT Plc
BBTS	Bluecrest Bluetrend Limited
BBY	Balfour Beatty Plc
BBYB	Balfour Beatty Plc
BC12	Better Capital Pcc Limit
BC18	Sse Plc
BC41	Prudential Plc
BC62	National Grid Gas Plc
BC94	Samsung Electronics Co L
BCA	Bca Marketplace
BCAP	Better Capital Pcc Limited
BCB	Bcb Holdings Limited
BCGR	Blue Capital Global Rein
BCN	Bacanora Minerals Ltd
BCRE	Bcre - Brack Capital Rea
BD32	Lewis (John) Partnership
BD45	Lewis (John) Partnership
BD56	National Grid Electricit
BDEV	Barratt Developments Plc
BDI	Bond International Software Plc
BDV	Baronsmead Vct Plc
BE01	Beazley Plc
BEE	Baring Emerging Europe Plc
BEEP	Blackrock Emerging Europ
BEG	Begbies Traynor Group Plc
BEGOV01	FTSE Belgium Government
BEM	Beowulf Mining Plc
BET	Betfair Group Plc
BEZ	Beazley Plc
BFA	Basf Se
BG	BG Group
BGEO	Bank of Georgia Holdings Plc
BGFD	Baillie Gifford Japan Trust Plc
BGHL	Boussard & Gavaudan Holding Limited
BGHS	Boussard & Gavaudan Holding Limited
BGLF	Blackstone / Gso Loan Fi
BGO	Bango Plc
BGS	Baillie Gifford Shin Nippon Plc
BHGG	Bh Global Limited
BHGU	Bh Global Limited
BHME	Bh Macro Limited
BHMG	Bh Macro Limited
BHMU	Bh Macro Limited
BHRD	BE Heard Group Plc
BHY	Boot [Henry] Plc
BILB	Bilby Plc
BILL	Billing Services Group Limited
BILN	Billington Holdings Plc
BIOG	Biotech Growth Trust [The] Plc
BIOM	Biome Technologies Plc
BISI	Bisichi Mining Plc
BIST	Blackrock Income Strateg
BJU	Brainjuicer Group Plc
BKG	Berkeley Group Holdings [The] Plc
BKIC	Bank of Ireland [Governor & Company of T
BKIR	Bank of Ireland [Governor & Company of T
BKM	Bankmuscat (S.A.O.G.)
BKY	Berkeley Resources Limited
BL23	Scottish Power UK Plc
BLBD	Blom Bank Sal
BLEY	Bailey [C.H.] Plc
BLND	British Land Company Plc
BLNX	Blinkx Plc
BLP	Blue Planet International Financials Inv
BLT	Bhp Billiton Plc
BLU	Blue Star Capital Plc
BLUR	Blur (Group) Plc
BLV	Belvoir Lettings Plc
BLVN	Bowleven Plc
BMD	Baronsmead Vct 3 Plc
BME	B&M European Value Retai
BMN	Bushveld Minerals Limited
BMR	Berkeley Mineral Resources Plc
BMS	Braemar Shipping Services Plc
BMT	Braime [T.F. & J.H.] [Holdings] Plc
BMTO	Braime [T.F. & J.H.] [Holdings] Plc
BMY	Bloomsbury Publishing Plc
BNC	Banco Santander S.A.
BNK	Bankers Petroleum Limited
BNKR	Bankers Investment Trust Plc
BNR	Blenheim Natural Resources Plc
BNS	Baronsmead Vct 4 Plc
BNZL	Bunzl Plc
BOD	Botswana Diamonds Plc
BODD	Banco De Chile
BOE	Boeing Co.
BOI	Bank of Ireland [Governor & Company of T
BOIL	Baron Oil Plc
BOK	Booker Group Plc
BON	Bonmarche Holdings Plc
BOO	Boohoo.Com Plc
BOOM	Audioboom Group Plc
BOR	Borders & Southern Petroleum Plc
BOTB	Best of The Best Plc
BOX	Boxhill Technologies Plc
BOY	Bodycote Plc
BP	Bp - British Petroleum Plc
BP.A	BP Plc
BP.B	BP Plc
BPC	Bahamas Petroleum Company Plc
BPI	British Polythene Industries Plc
BPKD	Bank Pekao Sa
BPM	B.P. Marsh & Partners Plc
BPTY	Bwin.Party Digital Entertainment Plc
BQ39	Wellington Pub Co Plc
BQAD	Bank Audi S.A.L.
BQE	Bioquell Plc
BR06	HSBC Bank Plc
BRAM	Brammer Plc
BRBY	Burberry Group Plc
BRCI	Blackrock Commodities Income Investment
BRD	Bluerock Diamonds Plc
BRDX	RBS Market Access
BREE	Breedon Aggregates Ld
BRFI	Blackrock Frontiers Investment Trust Plc
BRGE	Blackrock Greater Europe Investment Trus
BRGS	Blackrock Greater Europe
BRH	Braveheart Investment Group Plc
BRIC	Ishares II Plc
BRICUL2X	FTSE BRIC 50 2X Daily Su
BRICUL3X	FTSE BRIC 50 3X Daily Le
BRICUS1X	FTSE BRIC 50 Daily Short
BRICUS2X	FTSE BRIC 50 2X Daily Sh
BRICUS3X	FTSE BRIC 50 3X Daily Sh
BRIG	Blackrock Income and Growth Investment T
BRK	Brooks Macdonald Group Plc
BRLA	Blackrock Latin American Investment Trus
BRNA	Blackrock North American
BRND	Boost Issuer Public Limi
BRNT	ETFS Commodity Securities Limited
BRSC	Blackrock Smaller Co Trust Plc
BRSN	Berendsen Plc
BRU1	Bruntwood Investments Pl
BRW	Brewin Dolphin Holdings Plc
BRWM	Blackrock World Mining Trust Plc
BRY	Brady Plc
BRZ	Amundi Investment Solutions
BS89	Barclays Bank Plc
BSC	British Smaller Companies Vct2 Plc
BSD	B.S.D Crown Ltd
BSE	Base Resources Limited
BSET	British Assets Trust Plc
BSIF	Bluefield Solar Income F
BSRT	Baker Steel Resources Trust Limited
BSV	British Smaller Companies Vct Plc
BT.A	Bt Group Plc
BTEM	British Empire Securities & General Trus
BTG	Btg Plc
BULL	ETFS Commodity Securities Limited
BULP	ETFS Commodity Securities Limited
BUPF	Bupa Finance Plc
BUR	Burford Capital Limited
BUR1	Burford Capital Plc
BUT	Brunner Investment Trust Plc
BUYB	Powershares Glbal Funds
BVA	Banco Bilbao Vizcaya Argentaria Sa
BVC	Batm Advanced Communications Ld
BVIC	Britvic Plc
BVM	Belgravium Technologies Plc
BVS	Bovis Homes Group Plc
BVT	Baronsmead Vct 2 Plc
BVXP	Bioventix Plc
BWNG	Brown [N] Group Plc
BWRA	Bristol Water Plc
BWSA	Bristol & West Plc
BWY	Bellway Plc
BXP	Beximco Pharmaceuticals Limited
BYBG	Amundi ETF
BYBU	Amundi ETF
BYG	Big Yellow Group Plc
BYOT	Byotrol Plc
BZM	Bellzone Mining Plc
BZT	Bezant Resources Plc
C1UG	Amundi ETF
C21	21St Century Technology
C4XD	C4X Discovery Holdings P
C8M	Amundi ETF
CACX	Lyxor International Asse
CAD	Cadogan Petroleum Plc
CADP	ETFS Foreign Exchange Limited
CAF	China Africa Resources Plc
CAGB	ETFS Foreign Exchange Limited
CAKE	Patisserie Holdings Plc
CAL	Capital & Regional Plc
CAM	Camellia Plc
CAMB	Cambria Automobiles Plc
CAML	Central Asia Metals Plc
CAPC	Capital & Counties Properties Plc
CAPD	Capital Drilling Limited
CAPE	Ossiam Lux
CAR	Carclo Plc
CARB	ETFS Oil Securities Limited
CARD	Card Factory Plc
CARP	ETFS Oil Securities Limited
CARR	Carr's Group Plc
CASE	Go Ucits ETF Solutions P
CASH	Go Ucits ETF Solutions P
CAT	Catco Reinsurance Opportunities Fund Lim
CATC	Catco Reinsurance Opportunities Fund Lim
CATF	ETFS Commodity Securities Limited
CATL	ETFS Commodity Securities Limited
CAU	Centaur Media Plc
CAY	Charles Stanley Group Plc
CAZA	Caza Oil & Gas Inc
CB5	Amundi ETF
CBE0	Ishares Vii Plc
CBE3	Ishares Vii Plc
CBE7	Ishares Vii Plc
CBG	Close Brothers Group Plc
CBKD	Commercial International
CBP	Curtis Banks Group Plc
CBR1	Ishares Vii Plc
CBU0	Ishares Vii Plc
CBU3	Ishares Vii Plc
CBU7	Ishares Vii Plc
CBUY	Cloudbuy Plc
CC1	Amundi ETF
CC1U	Amundi ETF
CCAP	Charlemagne Capital Limited
CCAU	Ishares Vii Plc
CCC	Computacenter Plc
CCDS	Nationwide Building Soci
CCE	Camco Clean Energy Plc
CCH	Coca-Cola Hbc Ag
CCL	Carnival Plc
CCL1	Ishares Vii Plc
CCMG	Commerzbank Ccbi Investm
CCMR	Commerzbank Ccbi Investm
CCP	Celtic Plc
CCPA	Celtic Plc
CCPC	Celtic Plc
CCPE	Cvc Credit Partners Euro
CCPG	Cvc Credit Partners Euro
CCR	C&C Group Plc
CCSL	Chenavari Capital Soluti
CCT	Character Group Plc
CD6	Amundi ETF
CDFF	Cardiff Property Plc
CDI	Candover Investments Plc
CDIS	SSGA SPDR ETFS Europe II
CDOG	Cdialogues Plc
CE01	Ishares Vii Plc
CE31	Ishares Vii Plc
CE71	Ishares Vii Plc
CE9	Amundi ETF
CE9U	Amundi ETF
CEA1	Ishares Vii Plc
CEBA	Nationwide Building Society
CEBB	Nationwide Building Society
CECD	Lyxor International Asse
CECL	Lyxor International Asse
CEIR	Compal Electronics Inc
CEMA	CS ETF [Ie] Plc
CEMG	Ishares V Public Limited
CEML	CS ETF [Ie] Plc
CEPS	Ceps Plc
CES1	Ishares Vii Plc
CEU	CS ETF [Ie] Plc
CEU1	Ishares Vii Plc
CEUR	Amundi Investment Solutions
CEUS	CS ETF [Ie] Plc
CEY	Centamin Plc
CF	CANACCORD FINANCIAL INC COM NPV
CFHL	Cityfibre Infrastructure
CFHS	Cathay Financial Holding
CFR	Amundi Investment Solutions
CFX	Colefax Group Plc
CFYN	Caffyns Plc
CG1	Amundi ETF
CGB	DB X-Trackers II
CGH	Chaarat Gold Holdings Ltd
CGI	Canadian General Investments Ld
CGL	Catlin Group Ltd
CGLO	Chagala Group Limited
CGNR	Conroy Gold & Natural Resources Plc
CGS	Castings Plc
CGT	Capital Gearing Trust Plc
CGVD	Crompton Greaves Ld
CGW	Chelverton Growth Trust Plc
CH1	Amundi ETF
CH5	Amundi ETF
CH80	FTSE China Index
CHA	Concha Plc
CHAR	Chariot Oil & Gas Limited
CHE	Ojsc Cherkizovo Group
CHFP	ETFS Foreign Exchange Limited
CHG	Chemring Group Plc
CHGB	ETFS Foreign Exchange Limited
CHH	Churchill China Plc
CHL	Churchill Mining Plc
CHN1	Sga Societe Generale Acc
CHNA	Source Csop Markets Plc
CHNP	Source Csop Markets Plc
CHOC	United Cacao Limited Sez
CHOO	Jimmy Choo Plc
CHRT	Cohort Plc
CHT	Constellation Healthcare
CHZN	Jsc Chelyabinsk Zinc Pla
CI1	Amundi ETF
CI2	Amundi ETF
CI2U	Amundi ETF
CIC	Conygar Investment Company Plc [The]
CICG	Cic Gold Group Limited
CICZ	Conygar Zdp Plc
CID1	Ishares Vii Plc
CIFU	Carador Income Fund Plc
CIN	City of London Group Plc
CIND	CS ETF [Ie] Plc
CINE	Cineworld Group Plc
CIR	Circassia Pharmaceutical
CIRC	Circle Holdings Plc
CIU	Cape Plc
CJ1	Amundi ETF
CJPU	Ishares Vii Plc
CKN	Clarkson Plc
CKR1	Ishares Vii Plc
CLA	Capital Lease Aviation Plc
CLC	Calculus Vct Plc
CLDN	Caledonia Investments Plc
CLG	Clipper Logistics Plc
CLI	Cls Holdings Plc
CLIG	City of London Investment Group Plc
CLIN	Clinigen Group Plc
CLL	Cello Group Plc
CLLN	Carillion Plc
CLNR	Cluff Natural Resources Plc
CLON	Clontarf Energy Plc
CLP	Clear Leisure Plc
CLS1	Cls Holdings Plc
CLST	Clearstar Inc.
CLTV	Cellcast Plc
CMB	Cambria Africa Plc
CMB1	Ishares Vii Plc
CMBN	Cambian Group Plc
CMCE	UBS Ag
CMCG	UBS Ag
CMCI	UBS Ag
CMCL	Caledonia Mining Corporation
CMDE	UBS Ag
CMDG	UBS Ag
CMFP	Etfx Fund Company Plc
CMH	Chamberlin Plc
CMHY	City Merchants High Yield Trust Limited
CMIB	CS ETF [Ie] Plc
CMIP	Capital Management & Investment Plc
CML	Cml Microsystems Plc
CML1	Ishares Vii Plc
CMS	Communisis Plc
CMU	Amundi Investment Solutions
CMX	Catalyst Media Group Plc
CMX1	Ishares Vii Plc
CMXC	CS ETF [Ie] Plc
CN1	Amundi ETF
CNA	Centrica Plc
CNAA	Multi Units France
CNAL	Multi Units France
CNC	Concurrent Technologies Plc
CNCT	Connect Group Plc
CNDX	CS ETF [Ie] Plc
CNE	Cairn Energy Plc
CNEL	China New Energy Limited
CNG	China Nonferrous Gold Li
CNIC	Centralnic Group Plc
CNKS	Cenkos Securities Plc
CNKY	CS ETF [Ie] Plc
CNMI	Camper & Nicholsons Marina Investments L
CNN	Caledonian Trust Plc
CNR	Condor Gold Plc
CNS	Corero Network Security Plc
CNSD	China Steel Corporation
CNX1	Ishares Vii Plc
CNYA	Ishares IV Plc
COA	Coats Group Plc
COB	Cobham Plc
COCE	UBS Ag
COCG	UBS Ag
COCO	ETFS Commodity Securities Limited
COCU	UBS Ag
COD	Compagnie De Saint Gobain Sa
CODL	Lyxor International Asse
CODU	Lyxor International Asse
COFF	ETFS Commodity Securities Limited
COG	Cambridge Cognition Hold
COGG	Go Ucits ETF Solutions P
COMF	Etfx Fund Company Plc
COMS	Coms Plc
CON	Connemara Mining Company Plc
COP	Circle Oil Plc
COPA	ETFS Commodity Securities Limited
COPL	Canadian Overseas Petrol
CORE	Go Ucits ETF Solutions P
CORG	Go Ucits ETF Solutions P
CORN	ETFS Commodity Securities Limited
CORP	Ishares Plc
COS	Collagen Solutions Plc
COSG	Multi Units France
COSL	Lyxor International Asse
COST	Costain Group Plc
COSU	Lyxor International Asse
COTN	ETFS Commodity Securities Limited
COUK	Multi Units France
CP9	Amundi ETF
CP9U	Amundi ETF
CPG	Compass Group Plc
CPI	Capita Plc
CPJ1	Ishares Vii Plc
CPJU	Ishares Vii Plc
CPP	Cppgroup Plc
CPR	Carpetright Plc
CPS	Cpl Resources Plc
CPX	Cap-Xx Limited
CPXJ	CS ETF [Ie] Plc
CRAW	Crawshaw Group Plc
CRBL	Lyxor International Asse
CRBU	Lyxor International Asse
CRDA	Croda International Plc
CRE	Creston Plc
CRED	Go Ucits ETF Solutions P
CREE	Go Ucits ETF Solutions P
CREG	Go Ucits ETF Solutions P
CREI	Custodian REIT Plc
CRH	CRH Plc
CRL	Creightons Plc
CRN	Cairn Homes Plc
CRND	Central Rand Gold Limited
CRNE	UBS Ag
CRNG	UBS Ag
